ID	DOCULECT	CONCEPT	IPA
160	Khmer-Surin	bone	ʨɁʌŋ
161	Khmer-Standard	bone	cʔəŋ
162	Mon	bone	cùt
163	Vietnamese	bone	xương
164	Bahnar-Golar	bow, crossbow	hraʔ
165	Bahnar-Kontum	bow, crossbow	hără
166	Bahnar-Pleiku	bow, crossbow	hraʔ
167	Bru-Talan	bow, crossbow	thənuːpɛːɲ
168	Bru-Ubon	bow, crossbow	sənaː
169	Khmer-Surin	bow, crossbow	snaː
170	Khmer-Standard	bow, crossbow	snaː
171	Mon	bow, crossbow	ŋaʔ
172	Vietnamese	bow, crossbow	ná
173	Bahnar-Golar	brain	ʔŋɔːk
174	Bahnar-Kontum	brain	ʔŋɔːk
175	Bahnar-Pleiku	brain	ʔŋɔːk
176	Bru-Ubon	brain	kubɔʔ
177	Khmer-Surin	brain	kʰʊːr
178	Khmer-Standard	brain	kʰuə
179	Mon	brain	dɔh
180	Vietnamese	brain	óc
181	Bahnar-Golar	branch	təɓlaː
182	Bahnar-Kontum	branch	təba
183	Bahnar-Pleiku	branch	təɓlaː
184	Bru-Talan	branch	ŋkɛːŋ
185	Bru-Ubon	branch	wil
186	Khmer-Surin	branch	meːɁ
187	Khmer-Standard	branch	mɛːɁ
188	Mon	branch	naɲcʰuʔ
189	Vietnamese	branch	cành
190	Bahnar-Golar	breast	tɔh
191	Bahnar-Kontum	breast	tɔh
192	Bahnar-Pleiku	breast	tɔh
193	Bru-Talan	breast	toh
194	Bru-Ubon	breast	toh
195	Khmer-Surin	breast	dâh
196	Khmer-Standard	breast	dɔh
197	Mon	breast	tah
198	Vietnamese	breast	vú
199	Bahnar-Golar	chicken/fowl	ʔjɛr
200	Bahnar-Kontum	chicken/fowl	ʔjɛr
201	Bahnar-Pleiku	chicken/fowl	ʔjɛr
202	Bru-Talan	chicken/fowl	ntruˀj
203	Bru-Ubon	chicken/fowl	ntruəj
204	Khmer-Surin	chicken/fowl	mɯan
205	Khmer-Standard	chicken/fowl	mòən
206	Mon	chicken/fowl	caɲ
207	Vietnamese	chicken/fowl	gà
208	Bahnar-Golar	child/son	kɔːn
209	Bahnar-Kontum	child/son	kɔːn
210	Bahnar-Pleiku	child/son	kɔːn
211	Bru-Talan	child/son	kərnian
212	Bru-Ubon	child/son	rənɛːn
213	Khmer-Surin	child/son	koːn
214	Khmer-Standard	child/son	koun
215	Mon	child/son	kon
216	Vietnamese	child/son	con
217	Bahnar-Golar	cloud	həməl
218	Bahnar-Kontum	cloud	həməl
219	Bahnar-Pleiku	cloud	həməl
220	Bru-Talan	cloud	təluk
221	Bru-Ubon	cloud	rəmil
222	Khmer-Surin	cloud	ppuəʔ
223	Khmer-Standard	cloud	pɔpɔːɁ
224	Mon	cloud	mòtprèa
225	Vietnamese	cloud	mây
226	Bahnar-Golar	cold	təŋjɛt
227	Bahnar-Kontum	cold	təŋjɛt
228	Bahnar-Pleiku	cold	təŋjɛt
229	Bru-Talan	cold	ŋaˀar
230	Bru-Ubon	cold	səŋɛːt
231	Khmer-Surin	cold	rŋiːa
232	Khmer-Standard	cold	rɔŋie
233	Mon	cold	bɑh
234	Bahnar-Golar	dog	kɔʔ
235	Bahnar-Kontum	dog	kɔʔ
236	Bahnar-Pleiku	dog	kɔʔ
237	Bru-Talan	dog	cɔˀɔ
238	Bru-Ubon	dog	ʔaːcɔː
239	Khmer-Surin	dog	ckɛː
240	Khmer-Standard	dog	cʰəkɛː
241	Mon	dog	kluiw
242	Vietnamese	dog	chó
243	Bahnar-Golar	dry	hrɛŋ
244	Bahnar-Kontum	dry	hrɛŋ
245	Bahnar-Pleiku	dry	srɛŋ
246	Bru-Talan	dry	crɛˀɛŋ
247	Bru-Ubon	dry	səʔəːt
248	Khmer-Surin	dry	sŋʊːt
249	Khmer-Standard	dry	riːŋ
250	Mon	dry	kɔh
251	Vietnamese	dry	khô
252	Bahnar-Golar	ear	ɗɔːn
253	Bahnar-Kontum	ear	ɗɔːn
254	Bahnar-Pleiku	ear	ɗɔːn
255	Bru-Talan	ear	kətoːr
256	Bru-Ubon	ear	kətuːr
257	Khmer-Surin	ear	tʨɪːɁ
258	Khmer-Standard	ear	trɑciəʔ
259	Mon	ear	kato
260	Vietnamese	ear	tai
261	Bahnar-Golar	earth -soil	tɛh
262	Bahnar-Kontum	earth -soil	tɛh
263	Bahnar-Pleiku	earth -soil	tɛh
264	Bru-Talan	earth -soil	kətɛˀɛʔ
265	Bru-Ubon	earth -soil	kətɛːʔ
266	Khmer-Surin	earth -soil	dɛj
267	Khmer-Standard	earth -soil	dɤj
268	Mon	earth -soil	tɔeʔ
269	Vietnamese	earth -soil	đất
270	Bahnar-Golar	egg	kətap
271	Bahnar-Kontum	egg	kətap
272	Bahnar-Pleiku	egg	kətap
273	Bru-Talan	egg	triˀal
274	Bru-Ubon	egg	ntre̤ːl
275	Khmer-Surin	egg	puːaŋ
276	Khmer-Standard	egg	pɔːŋ
277	Mon	egg	həmaɛ
278	Vietnamese	egg	trứng
279	Bahnar-Golar	eight	təhŋam
280	Bahnar-Kontum	eight	təhŋam
281	Bahnar-Pleiku	eight	təhŋaːm
282	Bru-Talan	eight	təkɔˀɔl
283	Bru-Ubon	eight	təkṳal
284	Khmer-Surin	eight	prambaj
285	Khmer-Standard	eight	prambaj
286	Mon	eight	həcam
287	Vietnamese	eight	tám
288	Bahnar-Golar	excrement/shit	ʔic
289	Bahnar-Kontum	excrement/shit	ʔic
290	Bahnar-Pleiku	excrement/shit	ʔic
291	Bru-Talan	excrement/shit	ʔɔˀɔʔ
292	Bru-Ubon	excrement/shit	krɛʔ
293	Khmer-Surin	excrement/shit	ʔac
294	Khmer-Standard	excrement/shit	ʔac
295	Mon	excrement/shit	ʔɔc
296	Vietnamese	excrement/shit	iả
297	Bahnar-Golar	eye	mat
298	Bahnar-Kontum	eye	mat
299	Bahnar-Pleiku	eye	mat
300	Bru-Talan	eye	manʔ
301	Bru-Ubon	eye	ma̤t
302	Khmer-Surin	eye	pʰneːʔ
303	Khmer-Standard	eye	pnɛːk
304	Mon	eye	mòt
305	Vietnamese	eye	mắt
306	Bahnar-Golar	far/distant	hətɔl
307	Bahnar-Kontum	far/distant	ʔatajh
308	Bahnar-Pleiku	far/distant	ʔatajh
309	Bru-Talan	far/distant	jəˀəŋ
310	Bru-Ubon	far/distant	jɨːŋ
311	Khmer-Surin	far/distant	ʨhŋaːj
312	Khmer-Standard	far/distant	cŋaːj
313	Mon	far/distant	hòa
314	Vietnamese	far/distant	ngái
315	Bru-Talan	fat/oil/grease	ɲcʰɛˀɛŋ
316	Bru-Ubon	fat/oil/grease	nseːŋ
317	Khmer-Surin	fat/oil/grease	kʰlaɲ
318	Khmer-Standard	fat/oil/grease	kʰlaɲ
319	Mon	fat/oil/grease	klɑɲ
320	Vietnamese	fat/oil/grease	mỡ
321	Bahnar-Golar	fear/afraid	hliː
322	Bahnar-Kontum	fear/afraid	ʔjuʔ
323	Bahnar-Pleiku	fear/afraid	hliː
324	Bru-Talan	fear/afraid	ŋkɔˀɔh
325	Bru-Ubon	fear/afraid	ŋkɔh
326	Khmer-Surin	fear/afraid	kʰlaːc
327	Khmer-Standard	fear/afraid	klaːc
328	Mon	fear/afraid	pʰɑc
329	Vietnamese	fear/afraid	phạ
330	Bahnar-Golar	field -irrigated	cun
331	Bahnar-Kontum	field -irrigated	miːr
332	Bahnar-Pleiku	field -irrigated	miːr
333	Bru-Talan	field -irrigated	cʰrɛː
334	Khmer-Standard	field -irrigated	srae
335	Mon	field -irrigated	ŋɛ̀ʔ
336	Vietnamese	field -irrigated	ruộng
337	Bahnar-Golar	field -swidden/hill	miːr
338	Bahnar-Kontum	field -swidden/hill	miːr
339	Bahnar-Pleiku	field -swidden/hill	miːr
340	Bru-Ubon	field -swidden/hill	saraj
341	Bahnar-Golar	finger	aŋlo
342	Bahnar-Kontum	finger	aŋlo
343	Bahnar-Pleiku	finger	aŋlo
344	Bru-Talan	finger	kəɲcɛˀɛŋ
345	Bru-Ubon	finger	rədɔːj
346	Khmer-Surin	finger	mriːam
347	Khmer-Standard	finger	mriəmdəj
348	Mon	finger	kənə̀ŋtoa
349	Vietnamese	finger	ngón
350	Bahnar-Golar	fire	ʔuɲ
351	Bahnar-Kontum	fire	ʔuɲ
352	Bahnar-Pleiku	fire	ʔuɲ
353	Bru-Talan	fire	ʔujh
354	Bru-Ubon	fire	ʔuːs
355	Khmer-Surin	fire	pʰləːŋ
356	Khmer-Standard	fire	pləːŋ
357	Mon	fire	kəmot
358	Vietnamese	fire	lửa
359	Bahnar-Golar	fish	kaː
360	Bahnar-Kontum	fish	kaː
361	Bahnar-Pleiku	fish	kaː
362	Bru-Talan	fish	peˀeʔ
363	Bru-Ubon	fish	ʔaːkaː
364	Khmer-Surin	fish	trɛj
365	Khmer-Standard	fish	triː
366	Mon	fish	kaʔ
367	Vietnamese	fish	cá
368	Bahnar-Golar	five	pəɗam
369	Bahnar-Kontum	five	pəɗam
370	Bahnar-Pleiku	five	pəɗam
371	Bru-Talan	five	cʰə:ŋ
372	Bru-Ubon	five	sɨːŋ
373	Khmer-Surin	five	pram
374	Khmer-Standard	five	pram
375	Mon	five	pəsɔn
376	Vietnamese	five	năm
377	Bahnar-Golar	flesh/meat	ʔɲɛm
378	Bahnar-Kontum	flesh/meat	sɛc
379	Bahnar-Pleiku	flesh/meat	ʔɲɛm
380	Bru-Talan	flesh/meat	cʰɛc
381	Bru-Ubon	flesh/meat	sac
382	Khmer-Surin	flesh/meat	sac
383	Khmer-Standard	flesh/meat	sac
384	Mon	flesh/meat	pʰjun
385	Vietnamese	flesh/meat	thịt
386	Bahnar-Golar	flower	pəkaːw
387	Bahnar-Kontum	flower	raːŋ
388	Bahnar-Pleiku	flower	pəkaːw
389	Bru-Talan	flower	piˀir
390	Bru-Ubon	flower	pear
391	Khmer-Surin	flower	pʰkaː
392	Khmer-Standard	flower	pʰkaː
393	Mon	flower	kao
394	Vietnamese	flower	bống
395	Bahnar-Golar	foot	kəpaːjɟəŋ
396	Bahnar-Kontum	foot	kəpaːjɟəŋ
397	Bahnar-Pleiku	foot	kəpaːjɟəŋ
398	Bru-Talan	foot	jɨːŋ
399	Bru-Ubon	foot	ʔaːjɨːŋ
400	Khmer-Surin	foot	ʨɤːŋ
401	Khmer-Standard	foot	cɤ̀ːŋ
402	Mon	foot	càŋ
403	Vietnamese	foot	chân
404	Bahnar-Golar	four	pwan
405	Bahnar-Kontum	four	pwan
406	Bahnar-Pleiku	four	pwan
407	Bru-Talan	four	puˀan
408	Bru-Ubon	four	pʉːn
409	Khmer-Surin	four	bʊːn
410	Khmer-Standard	four	buən
411	Mon	four	pɔn
412	Vietnamese	four	bốn
413	Bahnar-Golar	frog	kiːt
414	Bahnar-Kontum	frog	kit
415	Bahnar-Pleiku	frog	kɨːt
416	Bru-Talan	frog	kṳnʔ
417	Bru-Ubon	frog	ʔakṳat
418	Khmer-Surin	frog	ŋkɛːp
419	Khmer-Standard	frog	kɑŋkaep
420	Mon	frog	ŋɛ̀a
421	Vietnamese	frog	ếch
422	Bahnar-Golar	fruit	plɛːj
423	Bahnar-Kontum	fruit	plɛːj
424	Bahnar-Pleiku	fruit	plɛːj
425	Bru-Talan	fruit	kəlaːj
426	Bru-Ubon	fruit	pəlaj
427	Khmer-Surin	fruit	pʰlɛː
428	Khmer-Standard	fruit	plae
429	Mon	fruit	sɔt
430	Vietnamese	fruit	trái
431	Bahnar-Golar	full	ɓeɲ
432	Bahnar-Kontum	full	ɓeɲ
433	Bahnar-Pleiku	full	ɓeɲ
434	Bru-Talan	full	krəjh
435	Bru-Ubon	full	pɔn
436	Khmer-Surin	full	pɪɲ
437	Khmer-Standard	full	pɨɲ
438	Mon	full	pɑɲ
439	Vietnamese	full	lăm
440	Bahnar-Golar	grandchild	sɔw
441	Bahnar-Kontum	grandchild	sɔw
442	Bahnar-Pleiku	grandchild	sɔw
443	Bru-Talan	grandchild	caw
444	Bru-Ubon	grandchild	ʔacaw
445	Khmer-Surin	grandchild	ʨaw
446	Khmer-Standard	grandchild	caw
447	Mon	grandchild	cao
448	Vietnamese	grandchild	cháutrai
449	Bahnar-Golar	grass	ʔɲɛt
450	Bahnar-Kontum	grass	ʔɲɛt
451	Bahnar-Pleiku	grass	ʔɲɛt
452	Bru-Talan	grass	cʰak
453	Bru-Ubon	grass	bat
454	Khmer-Surin	grass	smaw
455	Khmer-Standard	grass	smaw
456	Mon	grass	kəmot
457	Vietnamese	grass	cỏ
458	Bahnar-Golar	green	ɟəːk
459	Bahnar-Pleiku	green	ɟəːk
460	Bru-Talan	green	hoʔ
461	Bru-Ubon	green	siəw
462	Mon	green	sacŋeak
463	Vietnamese	green	xanh
464	Bahnar-Golar	hair -head	sɔk
465	Bahnar-Kontum	hair -head	sɔk
466	Bahnar-Pleiku	hair -head	sɔk
467	Bru-Talan	hair -head	cʰɔk
468	Bru-Ubon	hair -head	soʔ
469	Khmer-Surin	hair -head	sɑɁ
470	Khmer-Standard	hair -head	sɑʔ
471	Mon	hair -head	sok
472	Vietnamese	hair -head	tóc
473	Bahnar-Golar	hand	təpaːjtiː
474	Bahnar-Kontum	hand	kəpaːjtiː
475	Bahnar-Pleiku	hand	təpaːjtiː
476	Bru-Talan	hand	tiː
477	Bru-Ubon	hand	ʔatiː
478	Khmer-Surin	hand	daj
479	Khmer-Standard	hand	dəj
480	Mon	hand	toa
481	Vietnamese	hand	tay
482	Bahnar-Golar	head	kəl
483	Bahnar-Kontum	head	kəl
484	Bahnar-Pleiku	head	kəl
485	Bru-Talan	head	plɔː
486	Bru-Ubon	head	pləː
487	Khmer-Surin	head	kbaːl
488	Khmer-Standard	head	kbaːl
489	Mon	head	dɑp
490	Bahnar-Golar	heart	nujh
491	Bahnar-Kontum	heart	nujh
492	Bahnar-Pleiku	heart	nujh
493	Bru-Talan	heart	reŋɨh
494	Bru-Ubon	heart	rəŋɨh
495	Khmer-Surin	heart	bɛhdoːŋ
496	Khmer-Standard	heart	behdoːŋ
497	Mon	heart	cɑt
498	Vietnamese	heart	tim
499	Bahnar-Golar	heavy	trap
500	Bahnar-Kontum	heavy	hŋam
501	Bahnar-Pleiku	heavy	trap
502	Bru-Talan	heavy	ntaʔŋ
503	Bru-Ubon	heavy	ntɔŋ
504	Khmer-Surin	heavy	tʰmuan
505	Khmer-Standard	heavy	tŋʊən
506	Mon	heavy	sàŋ
507	Vietnamese	heavy	nặng
508	Bahnar-Golar	horn	həkɛː
509	Bahnar-Kontum	horn	ʔakɛː
510	Bahnar-Pleiku	horn	ʔakɛː
511	Bru-Talan	horn	təŋᵏɔ̤ːj
512	Bru-Ubon	horn	takɔːj
513	Khmer-Surin	horn	snɛːɲ
514	Khmer-Standard	horn	snaeŋ
515	Mon	horn	krèaŋ
516	Vietnamese	horn	sừng
517	Bahnar-Golar	hot/warm	tɔʔ
518	Bahnar-Kontum	hot/warm	tɔʔ
519	Bahnar-Pleiku	hot/warm	tɔʔ
520	Bru-Talan	hot/warm	toʔ
521	Khmer-Surin	hot/warm	kdaw
522	Khmer-Standard	hot/warm	kdaw
523	Mon	hot/warm	kataɔ
524	Vietnamese	hot/warm	ấm
525	Bahnar-Golar	house	hnam
526	Bahnar-Kontum	house	hnam
527	Bahnar-Pleiku	house	hnaːm
528	Bru-Talan	house	duŋ
529	Bru-Ubon	house	dʉŋ
530	Khmer-Surin	house	ptiah
531	Khmer-Standard	house	pteah
532	Mon	house	hɑɛʔ
533	Vietnamese	house	nhà
534	Bahnar-Golar	intestine/gut	klaːk
535	Bahnar-Kontum	intestine/gut	klaːk
536	Bahnar-Pleiku	intestine/gut	klaːk
537	Bru-Talan	intestine/gut	rɔːjʔ
538	Bru-Ubon	intestine/gut	rṳajʔ
539	Khmer-Standard	intestine/gut	ʔɑntaʔ
540	Mon	intestine/gut	krɔt
541	Vietnamese	intestine/gut	ruột
542	Bahnar-Golar	iron	maːm
543	Bahnar-Kontum	iron	maːm
544	Bahnar-Pleiku	iron	maːm
545	Bru-Talan	iron	taˀa
546	Bru-Ubon	iron	təːʔ
547	Khmer-Surin	iron	dɛːɁ
548	Khmer-Standard	iron	daeɁ
549	Vietnamese	iron	sắt
550	Bahnar-Golar	leaf	hlaː
551	Bahnar-Kontum	leaf	hlaː
552	Bahnar-Pleiku	leaf	hlaː
553	Bru-Talan	leaf	həlaˀa
554	Bru-Ubon	leaf	səlaː
555	Khmer-Surin	leaf	slʌʔ
556	Khmer-Standard	leaf	slək
557	Mon	leaf	hlaʔ
558	Vietnamese	leaf	lá
559	Bahnar-Golar	leech -land	pləːm
560	Bahnar-Kontum	leech -land	pləːm
561	Bahnar-Pleiku	leech -land	pləːm
562	Bru-Talan	leech -land	plɔːm
563	Bru-Ubon	leech -land	pləːm
564	Khmer-Standard	leech -land	tiəʔ
565	Mon	leech -land	klɔm
566	Vietnamese	leech -land	conđỉa
567	Bahnar-Golar	left -side	ŋiãɔ
568	Bahnar-Kontum	left -side	ŋiãɔ
569	Bahnar-Pleiku	left -side	ʔŋjɛw
570	Bru-Talan	left -side	wiˀar
571	Bru-Ubon	left -side	ʔaːwe̤ːr
572	Khmer-Surin	left -side	ʨhweːɲ
573	Khmer-Standard	left -side	cweiŋ
574	Mon	left -side	paɛ
575	Vietnamese	left -side	trái
576	Bahnar-Golar	light -weight	hjəːc
577	Bahnar-Kontum	light -weight	hjəːc
578	Bahnar-Pleiku	light -weight	həʔjəːc
579	Bru-Talan	light -weight	həŋaːlʔ
580	Bru-Ubon	light -weight	ŋhɛːl
581	Khmer-Standard	light -weight	sraːl
582	Mon	light -weight	sa
583	Vietnamese	light -weight	nhẹ
584	Bahnar-Golar	liver	kləːm
585	Bahnar-Kontum	liver	kləːm
586	Bahnar-Pleiku	liver	kləːm
587	Bru-Talan	liver	lɔˀɔm
588	Bru-Ubon	liver	luəm
589	Khmer-Surin	liver	tʰlʌːm
590	Khmer-Standard	liver	tʰlaəm
591	Mon	liver	krə̀h
592	Bahnar-Golar	long	kəɟuːŋ
593	Bahnar-Kontum	long	kəɟuːŋ
594	Bahnar-Pleiku	long	kəɟuːŋ
595	Bru-Talan	long	kəjɨːŋ
596	Bru-Ubon	long	ti̤ː
597	Khmer-Surin	long	weːɲ
598	Khmer-Standard	long	wɛːŋ
599	Mon	long	kliŋ
600	Vietnamese	long	dài
601	Bahnar-Golar	louse	siː
602	Bahnar-Kontum	louse	siː
603	Bahnar-Pleiku	louse	siː
604	Bru-Talan	louse	ŋcaːj
605	Bru-Ubon	louse	ɲciː
606	Khmer-Surin	louse	ʨaj
607	Khmer-Standard	louse	caj
608	Mon	louse	coa
609	Vietnamese	louse	chấy
610	Bahnar-Golar	man -male human	drɔʔŋlɔː
611	Bahnar-Kontum	man -male human	drɔʔŋlɔː
612	Bahnar-Pleiku	man -male human	drɔʔŋlɔː
613	Bru-Talan	man -male human	koːɲ
614	Bru-Ubon	man -male human	troːs
615	Khmer-Surin	man -male human	prɔh
616	Khmer-Standard	man -male human	proh
617	Mon	man -male human	kraoh
618	Vietnamese	man -male human	đànông
619	Bru-Talan	many	həʔɨj
620	Bru-Ubon	many	səʔɨj
621	Khmer-Surin	many	ʨrʌːn
622	Khmer-Standard	many	craən
623	Mon	many	klàŋ
624	Vietnamese	many	nhiều
625	Bahnar-Golar	medicine	pəgaːŋ
626	Bahnar-Kontum	medicine	pəgaːŋ
627	Bahnar-Pleiku	medicine	pəgaːŋ
628	Bru-Ubon	medicine	rəhəw
629	Khmer-Surin	medicine	tʰnam
630	Khmer-Standard	medicine	tʰnam
631	Mon	medicine	haʔuj
632	Vietnamese	medicine	thuốc
633	Bahnar-Golar	monkey/ape	ɗɔk
634	Bahnar-Kontum	monkey/ape	ɗɔk
635	Bahnar-Pleiku	monkey/ape	ɗɔk
636	Bru-Talan	monkey/ape	ɲoˀol
637	Bru-Ubon	monkey/ape	təmi̤r
638	Khmer-Surin	monkey/ape	swaː
639	Khmer-Standard	monkey/ape	svaː
640	Mon	monkey/ape	nɑe
641	Vietnamese	monkey/ape	khi
642	Bahnar-Golar	moon	kʰɛːj
643	Bahnar-Kontum	moon	kʰɛːj
644	Bahnar-Pleiku	moon	kʰɛːj
645	Bru-Talan	moon	kəcʰaːj
646	Bru-Ubon	moon	kəsaj
647	Khmer-Surin	moon	kʰɛː
648	Khmer-Standard	moon	kʰae
649	Mon	moon	hataɔ
650	Vietnamese	moon	tháng
651	Bahnar-Golar	mortar	təpal
652	Bahnar-Kontum	mortar	hapal
653	Bahnar-Pleiku	mortar	təpal
654	Bru-Talan	mortar	təpaˀlloʔ
655	Bru-Ubon	mortar	tapal
656	Khmer-Surin	mortar	tbal
657	Khmer-Standard	mortar	tbal
658	Mon	mortar	həi
659	Vietnamese	mortar	cối
660	Bahnar-Golar	mountain	koːŋ
661	Bahnar-Kontum	mountain	koːŋ
662	Bahnar-Pleiku	mountain	koːŋ
