ID	DOCULECT	CONCEPT	IPA
253	DAHALO_2	dog	naχete
254	KAFFA	dog	kunaɲ
255	SYRIAC_2	louse	kalmət
256	ARABIC_QURANIC	louse	kumal
257	ARABIC_LEBANESE	louse	amol
258	GEEZ	louse	kʷəmal
259	TIGRAI	louse	kwəmal
260	AMHARIC_3	louse	kəmal
261	HARARI_2	louse	kumaj
262	MEHRI_2	louse	kenmit
263	JIBBALI	louse	sinit
264	SOQOTRI_2	louse	konum
265	SIWA	louse	talʃət
266	GHADAMES_2	louse	taləkt
267	AHAGGAR	louse	tilik
268	ZENAGA_2	louse	tələkt
269	QABYLE	louse	tilkit
270	HAUSA_3	louse	kʷarkʷata
271	BOLEWA	louse	d͡ʒəŋkəri
272	BEJA_2	louse	tat
273	OROMO	louse	ind͡ʒiran
274	DAHALO_2	louse	itore
275	KAFFA	louse	t͡ʃindo
276	SYRIAC_2	tree	ilan
277	ARABIC_QURANIC	tree	ʃaʒar
278	ARABIC_LEBANESE	tree	ʃaʒar
279	GEEZ	tree	χəd
280	TIGRAI	tree	om
281	HARARI_2	tree	lɛfu
282	MEHRI_2	tree	hərmajt
283	JIBBALI	tree	hejrom
284	SOQOTRI_2	tree	ʃirohom
285	GHADAMES_2	tree	temdikt
286	AHAGGAR	tree	aʃək
287	ZENAGA_2	tree	aʃaʔr
288	HAUSA_3	tree	itat͡ʃe
289	BOLEWA	tree	ʃoiwi
290	OROMO	tree	muqa
291	DAHALO_2	tree	koro
292	KAFFA	tree	mito
293	SYRIAC_2	leaf	tχarp
294	ARABIC_QURANIC	leaf	warakat
295	ARABIC_LEBANESE	leaf	waraʔa
296	GEEZ	leaf	kʷat͡səl
297	TIGRAI	leaf	qʷasχli
298	AMHARIC_3	leaf	kətəl
299	HARARI_2	leaf	kuti
300	MEHRI_2	leaf	t͡sxalfot
301	JIBBALI	leaf	t͡sxiʒfot
302	SOQOTRI_2	leaf	saχlifo
303	GHADAMES_2	leaf	təfra
304	AHAGGAR	leaf	afraw
305	QABYLE	leaf	ifər
306	HAUSA_3	leaf	ɡaɲe
307	BOLEWA	leaf	owu
308	BEJA_2	leaf	baja
309	OROMO	leaf	bala
310	DAHALO_2	leaf	ʃabune
311	KAFFA	leaf	wamo
312	SYRIAC_2	night	lelj
313	ARABIC_QURANIC	night	lajlat
314	ARABIC_LEBANESE	night	lajl
315	GEEZ	night	lelit
316	TIGRAI	night	lajti
317	AMHARIC_3	night	let
318	HARARI_2	night	lɛjli
319	MEHRI_2	night	χat͡sar
320	JIBBALI	night	χat͡sər
321	SOQOTRI_2	night	hte
322	SIWA	night	it
323	GHADAMES_2	night	ibed
324	AHAGGAR	night	ehod
325	ZENAGA_2	night	id
326	QABYLE	night	id
327	HAUSA_3	night	dare
328	BOLEWA	night	bodi
329	BEJA_2	night	hawad
330	OROMO	night	halkan
331	DAHALO_2	night	hima
332	KAFFA	night	tumo
333	SYRIAC_2	blood	dəm
334	ARABIC_QURANIC	blood	dam
335	ARABIC_LEBANESE	blood	dam
336	GEEZ	blood	dam
337	TIGRAI	blood	dam
338	AMHARIC_3	blood	dəm
339	HARARI_2	blood	dɛm
340	MEHRI_2	blood	doreh
341	JIBBALI	blood	dohr
342	SOQOTRI_2	blood	dɛr
343	SIWA	blood	idamən
344	GHADAMES_2	blood	demen
345	AHAGGAR	blood	ahni
346	ZENAGA_2	blood	dəməⁿʰ
347	QABYLE	blood	idamən
348	HAUSA_3	blood	d͡ʒini
349	BOLEWA	blood	domi
350	BEJA_2	blood	boj
351	OROMO	blood	diɡa
352	KAFFA	blood	damo
353	SYRIAC_2	full	məle
354	ARABIC_QURANIC	full	malʔan
355	ARABIC_LEBANESE	full	məlin
356	GEEZ	full	məluʔ
357	TIGRAI	full	muluʔ
358	AMHARIC_3	full	məlu
359	HARARI_2	full	muluʔ
360	MEHRI_2	full	milaʔ
361	JIBBALI	full	miʒiʔ
362	SOQOTRI_2	full	mili
363	SIWA	full	t͡ʃur
364	GHADAMES_2	full	etkur
365	AHAGGAR	full	ətkər
366	ZENAGA_2	full	tufurt
367	QABYLE	full	at͡ʃaran
368	HAUSA_3	full	t͡ʃika
369	BOLEWA	full	ɡamt
370	BEJA_2	full	atab
371	OROMO	full	ɡutu
372	KAFFA	full	t͡ʃen
373	SYRIAC_2	new	χadət
374	ARABIC_QURANIC	new	ʒadid
375	ARABIC_LEBANESE	new	ʒdid
376	GEEZ	new	χadis
377	TIGRAI	new	χadis
378	AMHARIC_3	new	adis
379	HARARI_2	new	χad͡ʒis
380	MEHRI_2	new	χejdin
381	JIBBALI	new	odin
382	SIWA	new	atrar
383	AHAGGAR	new	inaj
384	ZENAGA_2	new	ənən
385	HAUSA_3	new	sabo
386	BOLEWA	new	pojo
387	BEJA_2	new	ɡa
388	OROMO	new	hara
389	KAFFA	new	andero
390	SYRIAC_2	we	χənan
391	ARABIC_QURANIC	we	naχnu
392	ARABIC_LEBANESE	we	neχni
393	GEEZ	we	nəχna
394	TIGRAI	we	nəχna
395	AMHARIC_3	we	əɲa
396	HARARI_2	we	əɲa
397	MEHRI_2	we	nχah
398	JIBBALI	we	ⁿʰan
399	SOQOTRI_2	we	hanhen
400	SIWA	we	ⁿt͡ʃini
401	GHADAMES_2	we	nekenin
402	AHAGGAR	we	nəkanid
403	ZENAGA_2	we	nəkni
404	QABYLE	we	nəkʷni
405	HAUSA_3	we	mu
406	BOLEWA	we	mimu
407	BEJA_2	we	hanin
408	OROMO	we	nu
409	DAHALO_2	we	ɲaɲi
410	KAFFA	we	nu
411	SYRIAC_2	horn	karn
412	ARABIC_LEBANESE	horn	aran
413	GEEZ	horn	karn
414	TIGRAI	horn	karni
415	AMHARIC_3	horn	kəⁿd
416	HARARI_2	horn	kɛr
417	MEHRI_2	horn	kon
418	JIBBALI	horn	kuhn
419	SOQOTRI_2	horn	kan
420	SIWA	horn	at͡ʃao
421	GHADAMES_2	horn	aʃkaw
422	AHAGGAR	horn	isək
423	ZENAGA_2	horn	təsken
424	QABYLE	horn	iʃ
425	HAUSA_3	horn	kaho
426	BOLEWA	horn	bʼolu
427	BEJA_2	horn	daʔ
428	OROMO	horn	ɡafa
429	DAHALO_2	horn	tumpo
430	SYRIAC_2	name	ʃəm
431	ARABIC_QURANIC	name	ism
432	ARABIC_LEBANESE	name	əsəm
433	GEEZ	name	səm
434	TIGRAI	name	səm
435	AMHARIC_3	name	səm
436	HARARI_2	name	sum
437	MEHRI_2	name	ham
438	JIBBALI	name	ʃum
439	SOQOTRI_2	name	ʃem
440	GHADAMES_2	name	ism
441	AHAGGAR	name	isəm
442	ZENAGA_2	name	eʃəm
443	QABYLE	name	isəm
444	HAUSA_3	name	suna
445	BOLEWA	name	siŋkwo
446	OROMO	name	maqa
447	DAHALO_2	name	sare
448	KAFFA	name	ʃiɡo
449	SYRIAC_2	ear	edn
450	ARABIC_QURANIC	ear	un
451	ARABIC_LEBANESE	ear	ədən
452	GEEZ	ear	əzən
453	TIGRAI	ear	əzni
454	HARARI_2	ear	uzun
455	MEHRI_2	ear	hajdin
456	JIBBALI	ear	idɛn
457	SOQOTRI_2	ear	idihən
458	SIWA	ear	taməzuht
459	GHADAMES_2	ear	isəm
460	AHAGGAR	ear	taməzuk
461	ZENAGA_2	ear	tamazɡud
462	QABYLE	ear	aməzux
463	HAUSA_3	ear	kune
464	BOLEWA	ear	kumi
465	BEJA_2	ear	anɡwil
466	OROMO	ear	ɡura
467	DAHALO_2	ear	aɡaʒo
468	KAFFA	ear	wamo
469	SYRIAC_2	eye	ajn
470	ARABIC_QURANIC	eye	χajn
471	ARABIC_LEBANESE	eye	χajn
472	GEEZ	eye	χajn
473	TIGRAI	eye	χajni
474	AMHARIC_3	eye	ajn
475	HARARI_2	eye	in
476	MEHRI_2	eye	χajn
477	JIBBALI	eye	χihn
478	SOQOTRI_2	eye	χajn
479	SIWA	eye	tət
480	GHADAMES_2	eye	awəl
481	AHAGGAR	eye	tit
482	ZENAGA_2	eye	tud
483	QABYLE	eye	tit
484	HAUSA_3	eye	ido
485	BOLEWA	eye	idi
486	BEJA_2	eye	lili
487	OROMO	eye	id͡ʒa
488	DAHALO_2	eye	ila
489	KAFFA	eye	afo
490	SYRIAC_2	nose	neχir
491	ARABIC_QURANIC	nose	anf
492	ARABIC_LEBANESE	nose	mənχar
493	GEEZ	nose	anf
494	TIGRAI	nose	afənt͡ʃa
495	AMHARIC_3	nose	əfənt͡ʃa
496	HARARI_2	nose	uf
497	MEHRI_2	nose	neχrir
498	JIBBALI	nose	nahrer
499	SOQOTRI_2	nose	nahrir
500	SIWA	nose	taⁿzart
501	GHADAMES_2	nose	tənzart
502	AHAGGAR	nose	aɲɡiur
503	ZENAGA_2	nose	tinʒərən
504	QABYLE	nose	anzarən
505	HAUSA_3	nose	nant͡ʃi
506	BOLEWA	nose	wintu
507	BEJA_2	nose	ɡenut
508	OROMO	nose	fuɲan
509	KAFFA	nose	mudo
510	SYRIAC_2	tooth	ʃen
511	ARABIC_QURANIC	tooth	sin
512	ARABIC_LEBANESE	tooth	sən
513	GEEZ	tooth	sən
514	TIGRAI	tooth	səni
515	AMHARIC_3	tooth	tərs
516	HARARI_2	tooth	sən
517	MEHRI_2	tooth	mdenjet
518	JIBBALI	tooth	ʃnin
519	SOQOTRI_2	tooth	χale
520	SIWA	tooth	asajn
521	GHADAMES_2	tooth	asin
522	AHAGGAR	tooth	sinən
523	ZENAGA_2	tooth	uks
524	QABYLE	tooth	tuxməst
525	HAUSA_3	tooth	hakori
526	BOLEWA	tooth	ido
527	BEJA_2	tooth	kos
528	OROMO	tooth	ilkan
529	DAHALO_2	tooth	kalati
530	KAFFA	tooth	ɡaʃo
531	SYRIAC_2	tongue	leʃan
532	ARABIC_QURANIC	tongue	lisan
533	ARABIC_LEBANESE	tongue	lsen
534	GEEZ	tongue	ləsan
535	TIGRAI	tongue	malχas
536	AMHARIC_3	tongue	məlas
537	MEHRI_2	tongue	lʃin
538	JIBBALI	tongue	ɛlʃɛn
539	SOQOTRI_2	tongue	leʃin
540	SIWA	tongue	iləs
541	GHADAMES_2	tongue	iləs
542	AHAGGAR	tongue	iləs
543	ZENAGA_2	tongue	ət͡ʃsi
544	QABYLE	tongue	iləs
545	HAUSA_3	tongue	harʃe
546	BOLEWA	tongue	lisi
547	BEJA_2	tongue	midala
548	OROMO	tongue	araba
549	DAHALO_2	tongue	χena
550	KAFFA	tongue	et͡ʃijo
551	SYRIAC_2	person	barnaʃ
552	ARABIC_QURANIC	person	insan
553	ARABIC_LEBANESE	person	insen
554	GEEZ	person	bəʔəsi
555	TIGRAI	person	sab
556	AMHARIC_3	person	səw
557	HARARI_2	person	usuʔ
558	SOQOTRI_2	person	χaɡ
559	GHADAMES_2	person	iman
560	AHAGGAR	person	jən
561	ZENAGA_2	person	min
562	HAUSA_3	person	mutum
563	BOLEWA	person	memu
564	BEJA_2	person	ha
565	OROMO	person	nama
566	DAHALO_2	person	ɡuhʼo
567	KAFFA	person	aʃo
568	SYRIAC_2	knee	burk
569	ARABIC_QURANIC	knee	rukbat
570	ARABIC_LEBANESE	knee	rikbi
571	GEEZ	knee	bərk
572	TIGRAI	knee	bərki
573	MEHRI_2	knee	barak
574	JIBBALI	knee	bɛrk
575	SOQOTRI_2	knee	bark
576	SIWA	knee	fud
577	GHADAMES_2	knee	ufəd
578	AHAGGAR	knee	afud
579	ZENAGA_2	knee	oʔfu
580	QABYLE	knee	aɡʷəʃrir
581	HAUSA_3	knee	ɡʷiwa
582	BOLEWA	knee	burn
583	BEJA_2	knee	ɡun
584	OROMO	knee	d͡ʒilba
585	DAHALO_2	knee	ɡili
586	KAFFA	knee	anɡo
587	SYRIAC_2	hand	id
588	ARABIC_QURANIC	hand	jad
589	ARABIC_LEBANESE	hand	əd
590	GEEZ	hand	əd
591	TIGRAI	hand	id
592	AMHARIC_3	hand	əʒ
593	HARARI_2	hand	id͡ʒi
594	MEHRI_2	hand	χajd
595	JIBBALI	hand	ed
596	SOQOTRI_2	hand	eʔed
597	SIWA	hand	fus
598	GHADAMES_2	hand	ufəs
599	AHAGGAR	hand	afus
600	ZENAGA_2	hand	afuʃ
601	QABYLE	hand	afus
602	HAUSA_3	hand	hanu
603	BOLEWA	hand	səra
604	BEJA_2	hand	aj
605	OROMO	hand	harka
606	DAHALO_2	hand	dara
607	KAFFA	hand	kiʃo
608	SYRIAC_2	liver	kabd
609	ARABIC_QURANIC	liver	kabid
610	ARABIC_LEBANESE	liver	kəbdi
611	GEEZ	liver	kabəd
612	TIGRAI	liver	kabdi
613	AMHARIC_3	liver	ɡubət
614	HARARI_2	liver	kud
615	MEHRI_2	liver	ʃebdit
616	JIBBALI	liver	ʃubdet
617	SOQOTRI_2	liver	ʃibde
618	SIWA	liver	t͡sa
619	GHADAMES_2	liver	tusa
620	AHAGGAR	liver	awsa
621	ZENAGA_2	liver	taʔʃa
622	QABYLE	liver	tasa
623	HAUSA_3	liver	hanta
624	BOLEWA	liver	rubʼusu
625	BEJA_2	liver	se
626	OROMO	liver	tiru
627	DAHALO_2	liver	mako
628	KAFFA	liver	qamo
629	SYRIAC_2	drink	ʃtj
630	ARABIC_QURANIC	drink	ʃrb
631	ARABIC_LEBANESE	drink	ʃərəb
632	GEEZ	drink	stj
633	TIGRAI	drink	sataja
634	HARARI_2	drink	sɛt͡ʃa
635	MEHRI_2	drink	hutki
636	JIBBALI	drink	ʃusi
637	SOQOTRI_2	drink	re
638	SIWA	drink	su
639	GHADAMES_2	drink	səw
640	AHAGGAR	drink	əsu
641	ZENAGA_2	drink	əʃbi
642	QABYLE	drink	səw
643	HAUSA_3	drink	ʃa
644	BOLEWA	drink	sa
645	BEJA_2	drink	ɡuʔ
646	OROMO	drink	duɡa
647	DAHALO_2	drink	maʔaw
648	KAFFA	drink	ut͡ʃ
649	SYRIAC_2	thou	at
650	ARABIC_QURANIC	thou	anta
651	ARABIC_LEBANESE	thou	int
652	GEEZ	thou	anta
653	TIGRAI	thou	nəsəka
654	AMHARIC_3	thou	anta
655	HARARI_2	thou	aka
656	MEHRI_2	thou	hit
657	JIBBALI	thou	hɛt
658	SIWA	thou	ʃək
659	GHADAMES_2	thou	ʃeɡ
660	AHAGGAR	thou	kaj
661	ZENAGA_2	thou	kuk
662	QABYLE	thou	kət͡ʃ
663	HAUSA_3	thou	kai
664	BOLEWA	thou	kai
665	BEJA_2	thou	baruk
666	OROMO	thou	ati
667	DAHALO_2	thou	ata
668	KAFFA	thou	ne
669	SYRIAC_2	see	χzj
670	ARABIC_QURANIC	see	rʔj
671	ARABIC_LEBANESE	see	ʃef
672	GEEZ	see	rʔj
673	TIGRAI	see	raʔaja
674	AMHARIC_3	see	aja
675	HARARI_2	see	riʔa
676	MEHRI_2	see	sinuh
677	JIBBALI	see	ʃini
678	SOQOTRI_2	see	ʃini
679	SIWA	see	zər
680	GHADAMES_2	see	eləm
681	AHAGGAR	see	əni
682	ZENAGA_2	see	zar
683	QABYLE	see	wali
684	HAUSA_3	see	ɡani
685	BOLEWA	see	in
686	BEJA_2	see	erh
687	OROMO	see	arɡa
688	DAHALO_2	see	wahʼ
689	KAFFA	see	beq
690	SYRIAC_2	hear	ʃmχ
691	ARABIC_QURANIC	hear	ʃmχ
692	ARABIC_LEBANESE	hear	səməχa
693	GEEZ	hear	smχ
694	TIGRAI	hear	samχe
695	AMHARIC_3	hear	səma
696	HARARI_2	hear	sɛmaʔa
697	MEHRI_2	hear	hema
698	JIBBALI	hear	ʃiχ
699	SOQOTRI_2	hear	hemaχ
700	SIWA	hear	səl
701	GHADAMES_2	hear	əsl
702	AHAGGAR	hear	əsəl
703	ZENAGA_2	hear	ɡera
704	QABYLE	hear	səl
705	HAUSA_3	hear	d͡ʒi
706	BOLEWA	hear	kum
707	BEJA_2	hear	masuw
708	OROMO	hear	daɡaja
709	DAHALO_2	hear	etit
710	KAFFA	hear	waj
711	SYRIAC_2	bone	ɡarm
712	ARABIC_QURANIC	bone	azχm
713	ARABIC_LEBANESE	bone	χazχam
714	GEEZ	bone	χat͡səm
715	TIGRAI	bone	χasχmi
716	AMHARIC_3	bone	atəⁿt
717	HARARI_2	bone	at
718	MEHRI_2	bone	χaʒjʒ
719	JIBBALI	bone	χajt͡ʃet͡ʃ
720	SOQOTRI_2	bone	sahlo
721	SIWA	bone	ixəs
722	GHADAMES_2	bone	xəs
723	AHAGGAR	bone	exəs
724	ZENAGA_2	bone	it͡si
725	QABYLE	bone	ixəs
726	HAUSA_3	bone	qaʃi
727	BOLEWA	bone	usəki
728	BEJA_2	bone	mi
729	OROMO	bone	lafe
730	KAFFA	bone	ʃawuʃo
731	SYRIAC_2	die	mjt
732	ARABIC_QURANIC	die	mwt
733	ARABIC_LEBANESE	die	mət
734	GEEZ	die	mwt
735	TIGRAI	die	mota
736	AMHARIC_3	die	motə
737	HARARI_2	die	did͡ʒa
738	MEHRI_2	die	mot
739	JIBBALI	die	haroɡ
740	SOQOTRI_2	die	same
741	SIWA	die	imut
742	GHADAMES_2	die	əmət
743	AHAGGAR	die	əmət
744	ZENAGA_2	die	əmʷi
745	QABYLE	die	əmət
746	HAUSA_3	die	mutu
747	BOLEWA	die	mutu
748	BEJA_2	die	jati
749	OROMO	die	duʔa
750	DAHALO_2	die	ʒaʔ
751	KAFFA	die	kit
752	SYRIAC_2	road (path)	urχ
753	ARABIC_QURANIC	road (path)	tχariq
754	ARABIC_LEBANESE	road (path)	darab
755	GEEZ	road (path)	fənot
756	TIGRAI	road (path)	manɡadi
757	AMHARIC_3	road (path)	mənɡəd
758	MEHRI_2	road (path)	χirum
759	JIBBALI	road (path)	orm
760	SOQOTRI_2	road (path)	orim
761	GHADAMES_2	road (path)	abrid
762	AHAGGAR	road (path)	abarəqa
763	ZENAGA_2	road (path)	tirəs
764	QABYLE	road (path)	abrid
765	HAUSA_3	road (path)	haɲa
766	BOLEWA	road (path)	ɡoɡo
767	BEJA_2	road (path)	laɡi
768	OROMO	road (path)	kara
769	DAHALO_2	road (path)	le
770	KAFFA	road (path)	woreto
771	BURMESE	I	kʲʷantau
772	ZAIWA	I	ŋo
773	AKHA	I	ŋa
774	BIYUE	I	ŋa
775	MPI	I	ŋo
776	BISU	I	ɡa
777	JINO	I	ŋo
778	LAHU	I	ŋa
779	XIDE	I	ŋa
780	DAFANG	I	ŋo
781	NANJIANG	I	ŋo
782	LISU	I	ŋua
783	NUSU	I	ŋa
784	ACHANG	I	ŋo
785	NAXI	I	ŋə
786	BURMESE	come	la
787	ZAIWA	come	le
788	AKHA	come	laʔ
789	BIYUE	come	la
790	MPI	come	lo
791	BISU	come	la
792	JINO	come	lo
793	LAHU	come	la
794	XIDE	come	la
795	DAFANG	come	lo
796	NANJIANG	come	la
797	LISU	come	la
798	NUSU	come	la
799	ACHANG	come	ʒə
800	NAXI	come	lə
801	BURMESE	water	rij
802	ZAIWA	water	it͡ʃʰo
803	AKHA	water	itʲu
804	BIYUE	water	vt͡sʰvʔ
805	MPI	water	t͡sʰoʔ
806	BISU	water	laŋ
807	JINO	water	e_t͡ʃʰo
808	LAHU	water	ikaʔ
809	XIDE	water	jə
810	DAFANG	water	ji
811	NANJIANG	water	xə
812	LISU	water	ed͡ʒɛ
813	NUSU	water	riɡra
