ID	DOCULECT	CONCEPT	IPA
91	MUNDARI	what	t͡ʃa na
92	BAHNAR	not	əh
93	CHRAU	not	sun
94	VIETNAMESE	not	kxoŋ
95	RUC	not	vaŋ
96	MON	not	ha
97	NYAKUR	not	ku
98	KHMER	not	min
99	SEMAI	not	pɛʔ
100	WA	not	aŋ
101	KHASI	not	em
102	MUNDARI	not	ka
103	MON	all	paʔuit
104	KHMER	all	tamŋ
105	KUI_THAILAND	all	ai tʰe
106	SEMAI	all	dit͡ʃ
107	DEANG	all	dviʔ
108	KHMU	all	ku
109	KHASI	all	baroh
110	JEH	many	kədram
111	BAHNAR	many	tʰər
112	CHRAU	many	ɡoʔ
113	VIETNAMESE	many	ɲieu
114	RUC	many	ɲiw
115	MON	many	ɡluiŋ
116	NYAKUR	many	kʰləŋ
117	KHMER	many	t͡ʃraən
118	KUI_THAILAND	many	dal
119	SEMAI	many	ʒʔoj
120	WA	many	hun
121	DEANG	many	mʰblam
122	KHMU	many	kə
123	KSINMUL	many	ɡaj
124	KHASI	many	bun
125	JEH	one	mui
126	BAHNAR	one	moɲ
127	CHRAU	one	muoi
128	VIETNAMESE	one	mot
129	RUC	one	moit͡ʃ
130	MON	one	mʷaj
131	NYAKUR	one	muəj
132	KHMER	one	muej
133	KUI_THAILAND	one	mui
134	SEMAI	one	nanəʔ
135	KHMU	one	moj
136	KHASI	one	wei
137	MUNDARI	one	mijod
138	JEH	two	bal
139	BAHNAR	two	bar
140	CHRAU	two	var
141	VIETNAMESE	two	hai
142	RUC	two	hal
143	MON	two	ba
144	NYAKUR	two	bar
145	KHMER	two	bir
146	KUI_THAILAND	two	bia
147	SEMAI	two	nar
148	WA	two	ra
149	KHMU	two	par
150	KHASI	two	ar
151	MUNDARI	two	bar
152	JEH	long	proih
153	BAHNAR	long	keʒuŋ
154	CHRAU	long	d͡ʒoŋ
155	VIETNAMESE	long	ʒai
156	RUC	long	jal
157	MON	long	ʒliŋ
158	NYAKUR	long	kʰliɲ
159	KHMER	long	vɛŋ
160	KUI_THAILAND	long	ⁿtʰrəŋ
161	SEMAI	long	t͡ʃrəkŋ
162	WA	long	laŋ
163	DEANG	long	doŋ
164	KHMU	long	waŋ
165	KSINMUL	long	əloŋ
166	KHASI	long	ʒeroŋ
167	MUNDARI	long	ʒiliŋ
168	BAHNAR	woman	drakan
169	MON	woman	brau
170	NYAKUR	woman	pʰəpʰraw
171	KUI_THAILAND	woman	kuikəpai
172	SEMAI	woman	krdor
173	WA	woman	bun
174	DEANG	woman	i pon
175	KHMU	woman	t͡ʃəmkən
176	KHASI	woman	briw
177	MUNDARI	woman	kuri
178	BAHNAR	man	droŋlo
179	MON	man	truʔ
180	NYAKUR	man	tujtruʒ
181	KUI_THAILAND	man	kui tʰol
182	SEMAI	man	kral
183	WA	man	simeʔ
184	DEANG	man	mai
185	KHASI	man	ai briw
186	MUNDARI	man	kora
187	JEH	person	məŋai
188	BAHNAR	person	bəŋai
189	CHRAU	person	tamun
190	VIETNAMESE	person	ŋuoi
191	RUC	person	ŋaj
192	KUI_THAILAND	person	kui
193	SEMAI	person	sⁿʔoj
194	WA	person	pui
195	DEANG	person	to i
196	KHMU	person	kəmmu
197	KSINMUL	person	ksiŋ
198	KHASI	person	briw
199	MUNDARI	person	horo
200	JEH	fish	ka
201	BAHNAR	fish	ka
202	CHRAU	fish	ka
203	VIETNAMESE	fish	ka
204	RUC	fish	aka
205	MON	fish	ka
206	NYAKUR	fish	kaʔ
207	KHMER	fish	tri
208	KUI_THAILAND	fish	ka
209	SEMAI	fish	kaʔ
210	WA	fish	kaʔ
211	DEANG	fish	ka
212	KHMU	fish	ka
213	KSINMUL	fish	ka
214	KHASI	fish	dohkʰa
215	MUNDARI	fish	hai
216	JEH	dog	t͡ʃo
217	BAHNAR	dog	ko
218	CHRAU	dog	so
219	VIETNAMESE	dog	to
220	RUC	dog	at͡ʃo
221	MON	dog	kluiw
222	NYAKUR	dog	t͡ʃʰur
223	KHMER	dog	t͡ʃʰəkɛ
224	KUI_THAILAND	dog	t͡ʃa
225	SEMAI	dog	t͡ʃoʔ
226	WA	dog	soʔ
227	DEANG	dog	aʔoʔ
228	KHMU	dog	so
229	KSINMUL	dog	ksew
230	KHASI	dog	ksew
231	MUNDARI	dog	seta
232	JEH	louse	kət͡ʃaj
233	BAHNAR	louse	si
234	CHRAU	louse	si
235	VIETNAMESE	louse	ti
236	RUC	louse	t͡ʃi
237	MON	louse	t͡ʃaj
238	NYAKUR	louse	t͡ʃaj
239	KHMER	louse	t͡ʃaj
240	KUI_THAILAND	louse	ɲt͡ʃɛʔ
241	SEMAI	louse	t͡ʃɛʔ
242	WA	louse	siʔ
243	DEANG	louse	sai
244	KHMU	louse	se
245	KSINMUL	louse	t͡sej
246	KHASI	louse	ksi
247	MUNDARI	louse	si ku
248	JEH	tree	loŋ
249	BAHNAR	tree	loŋ
250	CHRAU	tree	t͡ʃʰo
251	VIETNAMESE	tree	kaj
252	RUC	tree	kəj
253	MON	tree	t͡ʃʰu
254	NYAKUR	tree	t͡ʃʰuʔ
255	KHMER	tree	taəm ʒʰaə
256	SEMAI	tree	ʒʰuʔ
257	WA	tree	kʰauʔ
258	DEANG	tree	he
259	KHMU	tree	səʔoŋ
260	KSINMUL	tree	t͡ʃəʔuəŋ
261	KHASI	tree	dieŋ
262	MUNDARI	tree	daru
263	VIETNAMESE	seed	hot
264	RUC	seed	kajaŋ
265	KHMER	seed	ɡrap
266	KUI_THAILAND	seed	klaŋ
267	SEMAI	seed	sip
268	WA	seed	sok
269	DEANG	seed	kau
270	KHMU	seed	pəliar
271	KHASI	seed	sinai
272	MUNDARI	seed	hita
273	JEH	leaf	la
274	BAHNAR	leaf	hla
275	CHRAU	leaf	la
276	VIETNAMESE	leaf	la
277	RUC	leaf	ula
278	MON	leaf	sla
279	NYAKUR	leaf	hlaʔ
280	KHMER	leaf	sələk
281	KUI_THAILAND	leaf	sla
282	SEMAI	leaf	slaʔ
283	WA	leaf	hlaʔ
284	DEANG	leaf	hla
285	KHMU	leaf	la
286	KSINMUL	leaf	bəw
287	KHASI	leaf	sla
288	MUNDARI	leaf	sakam
289	JEH	root	riah
290	BAHNAR	root	rəh
291	CHRAU	root	dijieh
292	VIETNAMESE	root	re
293	RUC	root	liɛrih
294	MON	root	ruih
295	NYAKUR	root	rihrak
296	KHMER	root	rək
297	KUI_THAILAND	root	rɛh
298	SEMAI	root	rʔes
299	WA	root	riah
300	DEANG	root	riaih
301	KHMU	root	rias
302	KSINMUL	root	ɡeh
303	KHASI	root	tinrai
304	MUNDARI	root	red
305	JEH	bark	kəduh
306	BAHNAR	bark	hmok
307	CHRAU	bark	moʔ
308	VIETNAMESE	bark	vo kaj
309	RUC	bark	kəduh
310	MON	bark	sakow
311	NYAKUR	bark	ŋkuər
312	KHMER	bark	səmbak
313	KUI_THAILAND	bark	mpʰuaʔ
314	SEMAI	bark	t͡ʃkop
315	WA	bark	hloʔ
316	DEANG	bark	ɡoʔ
317	KHMU	bark	həmpok
318	KSINMUL	bark	bəŋ
319	KHASI	bark	snep
320	MUNDARI	bark	harta
321	JEH	skin	pal
322	BAHNAR	skin	əkar
323	CHRAU	skin	nto
324	VIETNAMESE	skin	ʒa
325	MON	skin	snam
326	NYAKUR	skin	hnam
327	KHMER	skin	səpɛk
328	SEMAI	skin	ɡtəʔ
329	WA	skin	hak
330	DEANG	skin	hur
331	KHMU	skin	həmpur
332	KSINMUL	skin	bəŋ
333	KHASI	skin	kʰoh
334	MUNDARI	skin	ur
335	JEH	meat	sinek
336	BAHNAR	meat	ɲem
337	CHRAU	meat	ɡoŋ
338	VIETNAMESE	meat	θit
339	RUC	meat	sit
340	MON	meat	t͡ʃun
341	NYAKUR	meat	ʰʷaʔ
342	KHMER	meat	sat͡ʃ
343	KUI_THAILAND	meat	sat͡ʃ
344	SEMAI	meat	sɛt͡ʃ
345	WA	meat	neʔ
346	DEANG	meat	joŋ
347	KHMU	meat	ah
348	KSINMUL	meat	ksoŋ
349	KHASI	meat	doh
350	MUNDARI	meat	ʒilu
351	JEH	blood	pʰam
352	BAHNAR	blood	pʰam
353	CHRAU	blood	nʔham
354	VIETNAMESE	blood	mau
355	RUC	blood	asam
356	MON	blood	t͡ʃʰim
357	NYAKUR	blood	t͡ʃʰim
358	KHMER	blood	ʒʰam
359	KUI_THAILAND	blood	əham
360	SEMAI	blood	bʰipm
361	WA	blood	ⁿʰam
362	DEANG	blood	ⁿʰam
363	KHMU	blood	mam
364	KSINMUL	blood	miəm
365	KHASI	blood	snam
366	MUNDARI	blood	majam
367	JEH	bone	kəsiaŋ
368	BAHNAR	bone	kətiŋ
369	CHRAU	bone	ntiŋ
370	VIETNAMESE	bone	ʃuoŋ
371	RUC	bone	saŋ
372	MON	bone	ʒut
373	NYAKUR	bone	t͡ʃʰəlut
374	KHMER	bone	t͡ʃʰʔəŋ
375	KUI_THAILAND	bone	ŋʰaŋ
376	SEMAI	bone	ʒʔakŋ
377	WA	bone	sisaŋ
378	DEANG	bone	kʼʔaŋ
379	KHMU	bone	t͡ʃəʔaŋ
380	KSINMUL	bone	laŋ
381	KHASI	bone	sʰʼieŋ
382	MUNDARI	bone	ʒaŋ
383	JEH	grease	pədreŋ
384	RUC	grease	kluŋ
385	MON	grease	kleŋ
386	NYAKUR	grease	kəliɲ
387	KHMER	grease	kʰlaɲ
388	KUI_THAILAND	grease	ɲt͡ʃʰɛŋ
389	SEMAI	grease	lʔus
390	WA	grease	bə
391	MUNDARI	grease	itil
392	JEH	egg	tətap
393	CHRAU	egg	t͡ʃap
394	VIETNAMESE	egg	t͡ʃuŋ
395	RUC	egg	təlul
396	MON	egg	kʰamhaj
397	KHMER	egg	boŋ
398	KUI_THAILAND	egg	ⁿtʰrɛl
399	SEMAI	egg	pŋləkŋ
400	WA	egg	tom
401	DEANG	egg	krau
402	KHMU	egg	kətoŋ
403	KSINMUL	egg	kloŋ
404	KHASI	egg	pilleŋ
405	MUNDARI	egg	ʒarom
406	JEH	horn	təkoj
407	BAHNAR	horn	ake
408	RUC	horn	krəŋ
409	MON	horn	draŋ
410	NYAKUR	horn	tʰraŋ
411	KHMER	horn	sənɛŋ
412	KUI_THAILAND	horn	təkai
413	WA	horn	ruŋ
414	DEANG	horn	nuŋ
415	KHMU	horn	t͡ʃentrəŋ
416	KSINMUL	horn	t͡ʃəlɡan
417	KHASI	horn	reŋ
418	MUNDARI	horn	diriŋ
419	JEH	tail	teŋ
420	BAHNAR	tail	kieŋ
421	CHRAU	tail	tieŋ
422	VIETNAMESE	tail	ʒuoi
423	RUC	tail	tuoj
424	MON	tail	bata
425	NYAKUR	tail	pətaʔ
426	KHMER	tail	kəⁿduj
427	KUI_THAILAND	tail	sal
428	SEMAI	tail	sntaʔ
429	WA	tail	sidaʔ
430	DEANG	tail	sta
431	KHMU	tail	hənta
432	KSINMUL	tail	həlta
433	KHASI	tail	tidoŋ
434	MUNDARI	tail	t͡ʃadlom
435	JEH	feather	suk
436	BAHNAR	feather	sok
437	CHRAU	feather	sinoʔ sum
438	VIETNAMESE	feather	loŋ tim
439	RUC	feather	usuk
440	MON	feather	səneŋ
441	NYAKUR	feather	t͡ʃʰokt͡ʃʰok
442	KHMER	feather	slap
443	KUI_THAILAND	feather	soʔ
444	SEMAI	feather	sntol
445	KHMU	feather	kʰul
446	KSINMUL	feather	sok
447	KHASI	feather	sner
448	MUNDARI	feather	il
449	JEH	hair	suk
450	BAHNAR	hair	sok
451	CHRAU	hair	soʔ
452	VIETNAMESE	hair	tok
453	RUC	hair	usuk
454	MON	hair	sok
455	NYAKUR	hair	t͡ʃʰok
456	KHMER	hair	sok
457	KUI_THAILAND	hair	soʔ
458	SEMAI	hair	sok
459	WA	hair	hauk
460	DEANG	hair	huʔ
461	KHMU	hair	klə
462	KSINMUL	hair	sok
463	KHASI	hair	sʰniuh
464	MUNDARI	hair	up
465	JEH	head	kal
466	BAHNAR	head	kəl
467	CHRAU	head	voʔ
468	RUC	head	kuluok
469	MON	head	kaduip
470	NYAKUR	head	kədəp
471	KUI_THAILAND	head	pla
472	SEMAI	head	kuj
473	WA	head	kaiŋ
474	DEANG	head	kiŋ
475	KHMU	head	kəmpoŋ
476	KSINMUL	head	əlu
477	KHASI	head	kʰlih
478	MUNDARI	head	boʔ
479	JEH	ear	pat
480	BAHNAR	ear	don
481	CHRAU	ear	tor
482	VIETNAMESE	ear	tai
483	RUC	ear	saj
484	MON	ear	katow
485	NYAKUR	ear	kətuer
486	KHMER	ear	trət͡ʃʰiək
487	KUI_THAILAND	ear	kətor
488	SEMAI	ear	ntakŋ
489	WA	ear	ʲʰauk
490	DEANG	ear	joʔ
491	KHMU	ear	hermej
492	KSINMUL	ear	həltol
493	KHASI	ear	lutur
494	MUNDARI	ear	lutur
495	JEH	eye	mat
496	BAHNAR	eye	mat
497	CHRAU	eye	mat
498	VIETNAMESE	eye	mat
499	MON	eye	mat
500	NYAKUR	eye	mat
501	KHMER	eye	bʰənək
502	KUI_THAILAND	eye	mat
503	SEMAI	eye	mat
504	WA	eye	ŋai
505	DEANG	eye	ŋai
506	KHMU	eye	mat
507	KSINMUL	eye	mat
508	KHASI	eye	kʰimat
509	MUNDARI	eye	med
510	JEH	nose	muh
511	BAHNAR	nose	muh
512	CHRAU	nose	muh
513	VIETNAMESE	nose	mui
514	RUC	nose	muəh
515	MON	nose	muh
516	NYAKUR	nose	hmok
517	KHMER	nose	t͡ʃrəmuh
518	KUI_THAILAND	nose	muh
519	SEMAI	nose	muh
520	WA	nose	məih
521	DEANG	nose	muih
522	KHMU	nose	muh
523	KSINMUL	nose	moh
524	KHASI	nose	kʰmut
525	MUNDARI	nose	mũ
526	JEH	mouth	təmun
527	BAHNAR	mouth	bər
528	VIETNAMESE	mouth	mieŋ
529	RUC	mouth	kaŋ
530	MON	mouth	paŋ
531	NYAKUR	mouth	paŋ
532	KHMER	mouth	mat
533	KUI_THAILAND	mouth	noh
534	SEMAI	mouth	mpakŋ
535	WA	mouth	ʲʰəih
536	DEANG	mouth	sop
537	KHMU	mouth	tənoh
538	KSINMUL	mouth	ɲuk
539	KHASI	mouth	sʰintur
540	MUNDARI	mouth	mot͡ʃa
541	JEH	tooth	sineŋ
542	BAHNAR	tooth	səneɲ
543	CHRAU	tooth	set͡ʃ
544	VIETNAMESE	tooth	raŋ
545	RUC	tooth	kasaŋ
546	MON	tooth	ŋek
547	NYAKUR	tooth	ŋiək
548	KHMER	tooth	dʰəmən
549	KUI_THAILAND	tooth	kənɛɲ
550	SEMAI	tooth	lmuɲ
551	WA	tooth	rʰaŋ
552	DEANG	tooth	rʰaŋ
553	KHMU	tooth	raŋ
554	KSINMUL	tooth	həɡiəŋ
555	KHASI	tooth	biniat
556	JEH	tongue	rəpiat
557	BAHNAR	tongue	rəpiet
558	CHRAU	tongue	lapiet
559	VIETNAMESE	tongue	luoi
560	RUC	tongue	ləarʰ
561	MON	tongue	katak
562	NYAKUR	tongue	ntak
563	KHMER	tongue	əntak
564	KUI_THAILAND	tongue	ntaʔ
565	SEMAI	tongue	lntak
566	WA	tongue	dak
567	DEANG	tongue	ktaʔ
568	KHMU	tongue	həntak
569	KSINMUL	tongue	həltak
570	KHASI	tongue	tʰillied
571	MUNDARI	tongue	leʔ
572	JEH	claw	kənialʰ
573	BAHNAR	claw	teŋiəh
574	CHRAU	claw	t͡sanʔhjeih
575	VIETNAMESE	claw	moŋ
576	RUC	claw	kəntoŋ
577	MON	claw	sanem
578	NYAKUR	claw	ŋʰliəm
579	KHMER	claw	krət͡ʃok
580	KUI_THAILAND	claw	ⁿtʰrɛh
581	SEMAI	claw	t͡ʃənros
582	WA	claw	ŋʰim
583	DEANG	claw	arʰim
584	KHMU	claw	təmmoŋ
585	KSINMUL	claw	moŋsuəŋ
586	KHASI	claw	tirsim
587	MUNDARI	claw	rama
588	BAHNAR	foot	təpaŋʒəŋ
589	CHRAU	foot	d͡ʒaŋ
590	VIETNAMESE	foot	tan
591	RUC	foot	t͡ʃiŋ
592	MON	foot	ʒoŋ
593	NYAKUR	foot	t͡ʃʰuŋ
594	KHMER	foot	ʒaəŋ
595	KUI_THAILAND	foot	ʒəŋ
596	SEMAI	foot	ʒukŋ
597	WA	foot	t͡ʃauŋ
598	DEANG	foot	ʒəŋ
599	KHMU	foot	t͡ʃəaŋ
600	KSINMUL	foot	zuŋ
601	KHASI	foot	kinʒat
602	MUNDARI	foot	kata
603	JEH	knee	kroŋ
604	CHRAU	knee	koʔ kruŋ
605	VIETNAMESE	knee	dau ɡoi
606	RUC	knee	kuluok tukul
607	MON	knee	kboaŋ
608	NYAKUR	knee	kəboŋ
609	KHMER	knee	ʒəŋɡaŋ
610	KUI_THAILAND	knee	platəkol
611	SEMAI	knee	kurol
612	WA	knee	pəm ŋoŋ
613	DEANG	knee	kir kɛr
614	KHMU	knee	kənun
615	KSINMUL	knee	əluməldil
616	KHASI	knee	kʰosiw
617	JEH	hand	ti
618	BAHNAR	hand	ti
619	CHRAU	hand	ti
620	VIETNAMESE	hand	taj
621	RUC	hand	si
622	MON	hand	taj
623	NYAKUR	hand	tɛj
624	KHMER	hand	taj
625	KUI_THAILAND	hand	te
626	SEMAI	hand	təkŋ
627	WA	hand	taiʔ
628	DEANG	hand	tai
629	KHMU	hand	kətakti
630	KSINMUL	hand	kəsap
631	KHASI	hand	kti
632	MUNDARI	hand	ti
633	BAHNAR	neck	ako
634	CHRAU	neck	nko
635	VIETNAMESE	neck	ko
636	MON	neck	kaʔ
637	NYAKUR	neck	koʔ
638	KHMER	neck	ko
639	KUI_THAILAND	neck	kaŋ
640	SEMAI	neck	taŋən
641	WA	neck	ŋok
642	DEANG	neck	amoŋ
643	KHMU	neck	kəntuar
644	KSINMUL	neck	kok
645	KHASI	neck	rindaŋ
646	MUNDARI	neck	hotoʔ
647	JEH	heart	noʲʰ
648	BAHNAR	heart	nuih
649	CHRAU	heart	plaj nuih
650	MON	heart	ɡruih
651	NYAKUR	heart	ɲʲum
652	KUI_THAILAND	heart	pʰam
653	SEMAI	heart	nus
654	WA	heart	rʰom
655	DEANG	heart	noih
656	KHMU	heart	hərnəam
657	KSINMUL	heart	en
658	KHASI	heart	kloŋ snam
659	JEH	liver	klem
660	BAHNAR	liver	kləm
661	CHRAU	liver	kʰlom
662	RUC	liver	loəm
663	MON	liver	ɡruih
664	NYAKUR	liver	kʰrih
665	KHMER	liver	tʰlaəm
666	KUI_THAILAND	liver	luam
667	SEMAI	liver	ris
668	WA	liver	tom
669	DEANG	liver	ktom
670	KHMU	liver	təlom
671	KSINMUL	liver	təlom
672	KHASI	liver	ba im
673	MUNDARI	liver	im
674	JEH	drink	hut
675	BAHNAR	drink	ɲa
676	CHRAU	drink	hut͡ʃ
677	VIETNAMESE	drink	uoŋ
678	RUC	drink	ɲu
679	MON	drink	suŋ
680	NYAKUR	drink	t͡ʃʰoŋ
681	KHMER	drink	pʰək
682	KUI_THAILAND	drink	ŋuat͡ʃ
683	SEMAI	drink	ŋut
684	WA	drink	rʰəp
685	DEANG	drink	rʰəp
686	KHMU	drink	uak
687	KSINMUL	drink	uk
688	KHASI	drink	dih
689	MUNDARI	drink	nu
690	JEH	eat	t͡ʃa
691	BAHNAR	eat	sa
692	CHRAU	eat	sa
693	VIETNAMESE	eat	an
694	RUC	eat	an
695	MON	eat	t͡ʃa
696	NYAKUR	eat	t͡ʃaʔ
697	KHMER	eat	ɲam
698	KUI_THAILAND	eat	t͡ʃa
699	SEMAI	eat	t͡ʃaʔ
700	WA	eat	som
701	DEANG	eat	hom
702	KHMU	eat	pə
703	KSINMUL	eat	t͡ʃa
704	KHASI	eat	ʒom
705	MUNDARI	eat	ʒom
706	JEH	bite	kap
707	BAHNAR	bite	kap
708	RUC	bite	kom
709	MON	bite	kit
710	NYAKUR	bite	kət
711	KHMER	bite	kʰam
712	KUI_THAILAND	bite	kap
713	SEMAI	bite	kap
714	WA	bite	kiat
715	DEANG	bite	ɡaʔ
716	KHMU	bite	pok
717	KSINMUL	bite	ak
718	KHASI	bite	dait
719	MUNDARI	bite	hua
720	JEH	see	tau
721	BAHNAR	see	boh
722	CHRAU	see	saj
723	RUC	see	t͡ʃəŋ
724	MON	see	ɲat
725	NYAKUR	see	maəl
726	KHMER	see	maəl
727	KUI_THAILAND	see	sir
728	SEMAI	see	nɛŋ
729	WA	see	jauʔ
730	DEANG	see	jə
731	KHMU	see	kun
732	KSINMUL	see	diə
733	KHASI	see	kʰimih
734	MUNDARI	see	lel
735	JEH	hear	ɲaŋ
736	BAHNAR	hear	kəteŋ
737	CHRAU	hear	t͡ʃaŋ
738	VIETNAMESE	hear	ŋhe
739	RUC	hear	t͡ʃamaŋ
740	MON	hear	miŋ
741	NYAKUR	hear	kʰəməɲ
742	KHMER	hear	lə
743	KUI_THAILAND	hear	saŋ
744	SEMAI	hear	ɡərtek
745	WA	hear	mʰoŋ
746	DEANG	hear	sŋaujə
747	KHMU	hear	met͡ʃ
748	KSINMUL	hear	al
749	KHASI	hear	sŋow
750	MUNDARI	hear	ajum
751	JEH	know	lo
752	BAHNAR	know	bat
753	CHRAU	know	ɡut
754	VIETNAMESE	know	biet
755	RUC	know	hi
756	MON	know	tim
757	NYAKUR	know	t͡ʃədəm
758	KHMER	know	təŋ
759	KUI_THAILAND	know	diɲ
760	WA	know	juŋ
761	DEANG	know	nap
762	KHMU	know	nəŋ
763	KSINMUL	know	zuə
764	KHASI	know	tip
765	MUNDARI	know	itu
766	JEH	sleep	kat
767	BAHNAR	sleep	tep
768	RUC	sleep	ɲəp
769	MON	sleep	stik
770	NYAKUR	sleep	puɲŋkuj
771	KHMER	sleep	tək
772	KUI_THAILAND	sleep	ŋɛt
773	SEMAI	sleep	bɛt
774	WA	sleep	it
775	DEANG	sleep	it
776	KHMU	sleep	sis
777	KSINMUL	sleep	em
778	KHASI	sleep	tʰiah
779	MUNDARI	sleep	durum
780	JEH	die	kət͡ʃʰiat
781	BAHNAR	die	kətet͡ʃ
782	CHRAU	die	t͡ʃut
783	VIETNAMESE	die	tet
784	RUC	die	kut͡ʃit
785	MON	die	kʰʲuit
786	NYAKUR	die	kət͡ʃɛt
787	KHMER	die	slap
788	KUI_THAILAND	die	lah
789	SEMAI	die	dat
790	WA	die	jum
791	DEANG	die	jam
792	KHMU	die	han
793	KSINMUL	die	siən
794	KHASI	die	iap noh
795	MUNDARI	die	ɡoʒuʔ
796	JEH	kill	ʒah
797	BAHNAR	kill	pəlot͡ʃ
798	CHRAU	kill	tat͡ʃut
799	VIETNAMESE	kill	ɡiet
800	RUC	kill	kat͡ʃit
801	MON	kill	ɡat͡ʃuit
802	NYAKUR	kill	kət͡ʃɛt
803	KHMER	kill	səmlap
804	KUI_THAILAND	kill	kət͡ʃɛt
805	SEMAI	kill	pərdat
806	WA	kill	paəh
807	DEANG	kill	ŋah
808	KHMU	kill	pʰan
809	KSINMUL	kill	pəsiən
810	KHASI	kill	piniap
811	MUNDARI	kill	ɡieʔ
812	JEH	swim	pəloi
813	BAHNAR	swim	ɡləi
814	RUC	swim	aja
815	MON	swim	biŋ
816	NYAKUR	swim	biɲ
817	KHMER	swim	hel
818	KUI_THAILAND	swim	loi
819	SEMAI	swim	loj
820	WA	swim	loi
821	DEANG	swim	lam ŋa
822	KHMU	swim	waj
823	KSINMUL	swim	loj
824	KHASI	swim	ʒiŋi
825	MUNDARI	swim	ojar
826	JEH	walk	t͡ʃiu
827	BAHNAR	walk	ano
828	CHRAU	walk	saʔ
829	VIETNAMESE	walk	di
830	RUC	walk	ti
831	NYAKUR	walk	ar
832	KHMER	walk	taər
833	KUI_THAILAND	walk	hut͡ʃ
834	SEMAI	walk	t͡ʃip
835	WA	walk	hu
836	DEANG	walk	hau
837	KHMU	walk	joh
838	KSINMUL	walk	zu
839	KHASI	walk	iaid
840	MUNDARI	walk	sen
841	RUC	come	ti
842	MON	come	kluŋ
843	NYAKUR	come	loŋ
844	KHMER	come	mok
845	KUI_THAILAND	come	t͡ʃau
846	SEMAI	come	bɛj
847	WA	come	hoik
848	DEANG	come	rot
849	KHMU	come	kaj
850	KSINMUL	come	pleh
851	KHASI	come	wan
852	MUNDARI	come	hiʒuʔ
853	JEH	lie	kat
854	BAHNAR	lie	pəsom
855	CHRAU	lie	viʔ
856	VIETNAMESE	lie	ŋu
857	RUC	lie	nəp
858	MON	lie	wat
859	NYAKUR	lie	puɲ
860	KHMER	lie	ɡəŋ
861	KUI_THAILAND	lie	tit͡ʃ
862	SEMAI	lie	daʔ
863	WA	lie	noi
864	KHMU	lie	ŋim
865	KSINMUL	lie	em
866	KHASI	lie	sʰaniah
867	MUNDARI	lie	ɡitiʔ
868	JEH	sit	sinan
869	CHRAU	sit	ɡuʔ
870	VIETNAMESE	sit	ŋoi
871	RUC	sit	ŋoj
872	MON	sit	ɡaʒaʔ
873	NYAKUR	sit	tʰoŋ
874	KHMER	sit	əŋɡuj
875	SEMAI	sit	ɡəj
876	WA	sit	ŋom
877	DEANG	sit	ŋoi
878	KHMU	sit	ten
879	KSINMUL	sit	kliən
880	KHASI	sit	sʰoŋ
