ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
21	Bru-Ubon	bru	alive/live		nɔ̤ŋʔaːmɔ̤ŋ	nɔ̤ŋ ʔaːmɔ̤ŋ	n 7	N H	N H	7	54
22	Khmer-Surin	kxm	alive/live		ruah	r ua h	r u h	R V H	R Y H	2	42
23	Khmer-Standard	khm	alive/live		rʊəh	r ʊə h	r u h	R V H	R Y H	2	42
24	Mon	mnw	alive/live		càŋ	c à ŋ	T a N	K V N	C A N	20	43
25	Vietnamese	vie	alive/live		sống	s o n g	s o n g	S V N K	S U N K	36	50
26	Bahnar-Golar	bdq	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68
27	Bahnar-Kontum	bdq	ant		hmoc	h m o c	h m o T	H M V K	H M U C	3	68
28	Bahnar-Pleiku	bdq	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68
29	Bru-Talan	oog	ant		mic	m i c	m i T	M V K	M I C	3	68
30	Bru-Ubon	bru	ant		səmuːc	s ə m uː c	s I m u T	S V M V K	S E M Y C	3	68
31	Khmer-Surin	kxm	ant		smɔːc	s m ɔː c	s m o T	S M V K	S M U C	3	68
32	Khmer-Standard	khm	ant		srɑmaoc	s r ɑ m ao c	s r o m a T	S R V M V K	S R A M A C	3	68
33	Mon	mnw	ant		həmo̱t	h ə m o̱ t	h I m o t	H V M V T	H E M U T	3	68
34	Vietnamese	vie	ant		kiến	k i e n	k i e n	K V V N	K I E N	28	66
35	Bahnar-Golar	bdq	arrow		mrɔm	m r ɔ m	m r o m	M R V M	M R U M	3	86
36	Bahnar-Kontum	bdq	arrow		mrɔm	m r ɔ m	m r o m	M R V M	M R U M	3	86
37	Bahnar-Pleiku	bdq	arrow		ɓrəm	ɓ r ə m	b r I m	P R V M	P R E M	3	86
38	Bru-Talan	oog	arrow		craˀah	c r aˀa h	T r a h	K R V H	C R A H	5	88
39	Bru-Ubon	bru	arrow		kam	k a m	k a m	K V M	K A M	6	89
40	Khmer-Surin	kxm	arrow		prʊːɲ	p r ʊː ɲ	p r u H	P R V N	P R Y N	13	75
41	Khmer-Standard	khm	arrow		pruəɲ	p r uə ɲ	p r u H	P R V N	P R Y N	13	75
42	Mon	mnw	arrow		lə̀	l ə̀	l I	R V	L E	17	79
43	Vietnamese	vie	arrow		căm	c ă m	T a m	K V M	C A M	6	89
44	Bahnar-Golar	bdq	ashes		tənuh	t ə n u h	t I n u h	T V N V H	T E N Y H	3	106
45	Bahnar-Kontum	bdq	ashes		tənuh	t ə n u h	t I n u h	T V N V H	T E N Y H	3	106
46	Bahnar-Pleiku	bdq	ashes		tənuhʔuɲ	tənuh ʔuɲ	t 7	T H	T H	3	106
47	Bru-Ubon	bru	ashes		bɔh	b ɔ h	b o h	P V H	P U H	2	99
48	Khmer-Surin	kxm	ashes		pʰɛh	pʰ ɛ h	p E h	P V H	P E H	2	99
49	Khmer-Standard	khm	ashes		pʰəːh	pʰ əː h	p I h	P V H	P E H	2	99
50	Mon	mnw	ashes		pətɑɲ	p ə t ɑ ɲ	p I t o H	P V T V N	P E T A N	14	96
51	Vietnamese	vie	ashes		mun	m u n	m u n	M V N	M Y N	34	108
52	Bahnar-Golar	bdq	bamboo		pəlɛː	p ə l ɛː	p I l E	P V R V	P E L E	5	141
53	Bahnar-Kontum	bdq	bamboo		pəlɛː	p ə l ɛː	p I l E	P V R V	P E L E	5	141
54	Bahnar-Pleiku	bdq	bamboo		pəlɛː	p ə l ɛː	p I l E	P V R V	P E L E	5	141
55	Bru-Talan	oog	bamboo		lɔˀɔŋkoʔ	lɔˀɔŋ koʔ	l k	R K	L K	4	137
56	Bru-Ubon	bru	bamboo		ʔaːluaŋsərɔŋ	ʔaːluaŋ sərɔŋ	7 s	H S	H S	15	121
57	Khmer-Surin	kxm	bamboo		rsɛj	r s ɛ j	r s E y	R S V J	R S E J	6	142
58	Khmer-Standard	khm	bamboo		rəsɤj	r ə s ɤ j	r I s o y	R V S V J	R E S E J	6	142
59	Mon	mnw	bamboo		tùn	t u n	t u n	T V N	T Y N	31	130
60	Vietnamese	vie	bamboo		pheo	p h eo	p h e	P H V	P H E	47	140
61	Bahnar-Golar	bdq	banana		priːt	p r iː t	p r i t	P R V T	P R I T	3	151
62	Bahnar-Kontum	bdq	banana		priːt	p r iː t	p r i t	P R V T	P R I T	3	151
63	Bahnar-Pleiku	bdq	banana		priːt	p r iː t	p r i t	P R V T	P R I T	3	151
64	Bru-Talan	oog	banana		prinʔ	p r i n ʔ	p r i n 7	P R V N H	P R I N H	3	151
65	Bru-Ubon	bru	banana		priat	p r ia t	p r i t	P R V T	P R I T	3	151
66	Khmer-Surin	kxm	banana		ʨeːɁ	ʨ eː Ɂ	C e 7	K V H	C E H	6	154
67	Khmer-Standard	khm	banana		ceiɁ	c ei Ɂ	T e 7	K V H	C E H	6	154
68	Mon	mnw	banana		pràt	p r à t	p r a t	P R V T	P R A T	3	151
69	Vietnamese	vie	banana		chuối	c h u o i	T h u o i	K H V V V	C H Y U I	2	149
70	Bahnar-Golar	bdq	beans/peas		təh	t ə h	t I h	T V H	T E H	3	170
71	Bahnar-Kontum	bdq	beans/peas		təh	t ə h	t I h	T V H	T E H	3	170
72	Bahnar-Pleiku	bdq	beans/peas		təh	t ə h	t I h	T V H	T E H	3	170
73	Bru-Talan	oog	beans/peas		tɔˀɔŋ	t ɔˀɔ ŋ	t o N	T V N	T U N	4	171
74	Bru-Ubon	bru	beans/peas		sətɔːŋ	s ə t ɔː ŋ	s I t o N	S V T V N	S E T U N	4	171
75	Khmer-Surin	kxm	beans/peas		snɛːɁ	s n ɛː Ɂ	s n E 7	S N V H	S N E H	8	175
76	Khmer-Standard	khm	beans/peas		sɑndaek	s ɑ n d ae k	s o n d a k	S V N T V K	S A N T A K	2	163
77	Mon	mnw	beans/peas		boa	b oa	b o	P V	P U	6	173
78	Vietnamese	vie	beans/peas		đậu	đ a u	8 a u	T V V	D A Y	3	170
79	Bahnar-Golar	bdq	bear		ɟəkøu	ɟ ə k øu	C I k e	K V K V	C E K U	4	189
80	Bahnar-Kontum	bdq	bear		həgøu	h ə g øu	h I g e	H V K V	H E K U	4	189
81	Bahnar-Pleiku	bdq	bear		cəgəw	c ə g ə w	T I g I w	K V K V W	C E K E W	4	189
82	Bru-Talan	oog	bear		haŋkaːw	h a ŋ k aː w	h a N k a w	H V N K V W	H A N K A W	4	189
83	Bru-Ubon	bru	bear		səkaw	s ə k a w	s I k a w	S V K V W	S E K A W	4	189
84	Khmer-Standard	khm	bear		kʰmùm	kʰ m u m	k m u m	K M V M	K M Y M	13	180
85	Mon	mnw	bear		mɛm	m ɛ m	m E m	M V M	M E M	17	184
86	Vietnamese	vie	bear		gấu	g a u	g a u	K V V	K A Y	4	189
87	Bahnar-Golar	bdq	bee/honeybee		suːt	s uː t	s u t	S V T	S Y T	3	206
88	Bahnar-Kontum	bdq	bee/honeybee		suːt	s uː t	s u t	S V T	S Y T	3	206
89	Bahnar-Pleiku	bdq	bee/honeybee		suːt	s uː t	s u t	S V T	S Y T	3	206
90	Bru-Talan	oog	bee/honeybee		kihial	k i h ia l	k i h i l	K V H V R	K I H I L	5	211
91	Bru-Ubon	bru	bee/honeybee		kəheal	k ə h ea l	k I h e l	K V H V R	K E H E L	5	211
92	Khmer-Surin	kxm	bee/honeybee		kʰmum	kʰ m u m	k m u m	K M V M	K M Y M	11	194
93	Khmer-Standard	khm	bee/honeybee		kmum	k m u m	k m u m	K M V M	K M Y M	11	194
94	Mon	mnw	bee/honeybee		sai	s ai	s a	S V	S A	19	200
95	Vietnamese	vie	bee/honeybee		ong	o n g	o n g	V N K	U N K	4	210
96	Bahnar-Golar	bdq	belly/stomach		klaːk	k l aː k	k l a k	K R V K	K L A K	5	235
97	Bahnar-Kontum	bdq	belly/stomach		klaːk	k l aː k	k l a k	K R V K	K L A K	5	235
98	Bahnar-Pleiku	bdq	belly/stomach		klaːk	k l aː k	k l a k	K R V K	K L A K	5	235
99	Bru-Talan	oog	belly/stomach		pəːm	p əː m	p I m	P V M	P E M	15	219
100	Bru-Ubon	bru	belly/stomach		pṳŋ	p ṳ ŋ	p i N	P V N	P Y N	14	218
101	Khmer-Surin	kxm	belly/stomach		puah	p ua h	p u h	P V H	P Y H	23	225
102	Khmer-Standard	khm	belly/stomach		puŋ	p u ŋ	p u N	P V N	P Y N	14	218
103	Mon	mnw	belly/stomach		pɜ̀ŋ	p ɜ̀ ŋ	p I N	P V N	P E N	14	218
104	Vietnamese	vie	belly/stomach		bụng	b u n g	b u n g	P V N K	P Y N K	14	218
105	Bahnar-Golar	bdq	bird		sɛːm	s ɛː m	s E m	S V M	S E M	2	241
106	Bahnar-Kontum	bdq	bird		sɛːm	s ɛː m	s E m	S V M	S E M	2	241
107	Bahnar-Pleiku	bdq	bird		sɛːm	s ɛː m	s E m	S V M	S E M	2	241
108	Bru-Talan	oog	bird		kaˀjleːmʔ	kaˀj leːmʔ	k l	K R	K L	3	244
109	Bru-Ubon	bru	bird		cɤm	c ɤ m	T o m	K V M	C E M	2	241
110	Mon	mnw	bird		hacem	h a c e m	h a T e m	H V K V M	H A C E M	2	241
111	Vietnamese	vie	bird		chim	c h i m	T h i m	K H V M	C H I M	2	241
112	Bahnar-Golar	bdq	bitter		taŋ	t a ŋ	t a N	T V N	T A N	3	250
113	Bahnar-Kontum	bdq	bitter		taŋ	t a ŋ	t a N	T V N	T A N	3	250
114	Bahnar-Pleiku	bdq	bitter		taŋ	t a ŋ	t a N	T V N	T A N	3	250
115	Bru-Talan	oog	bitter		taŋʔ	t a ŋ ʔ	t a N 7	T V N H	T A N H	3	250
116	Bru-Ubon	bru	bitter		ntaŋ	n t a ŋ	n t a N	N T V N	N T A N	3	250
117	Khmer-Surin	kxm	bitter		lwiːɲ	l w iː ɲ	l w i H	R W V N	L W I N	13	248
118	Khmer-Standard	khm	bitter		lwiːŋ	l w iː ŋ	l w i N	R W V N	L W I N	13	248
119	Mon	mnw	bitter		kataŋ	k a t a ŋ	k a t a N	K V T V N	K A T A N	3	250
120	Vietnamese	vie	bitter		đắng	đ a n g	8 a n g	T V N K	D A N K	3	250
121	Bahnar-Golar	bdq	black		gam	g a m	g a m	K V M	K A M	7	282
122	Bahnar-Kontum	bdq	black		gam	g a m	g a m	K V M	K A M	7	282
123	Bahnar-Pleiku	bdq	black		gam	g a m	g a m	K V M	K A M	7	282
124	Bru-Talan	oog	black		koːm	k oː m	k o m	K V M	K U M	17	259
125	Bru-Ubon	bru	black		kuːm	k uː m	k u m	K V M	K Y M	17	259
126	Khmer-Surin	kxm	black		kʰmaw	kʰ m a w	k m a w	K M V W	K M A W	13	256
127	Khmer-Standard	khm	black		kmaw	k m a w	k m a w	K M V W	K M A W	13	256
128	Mon	mnw	black		kacɑk	k a c ɑ k	k a T o k	K V K V K	K A C A K	31	270
129	Vietnamese	vie	black		đen	đ e n	8 e n	T V N	D E N	46	280
130	Bahnar-Golar	bdq	blood		pʰaːm	pʰ aː m	p a m	P V M	P A M	1	285
131	Bahnar-Kontum	bdq	blood		pʰaːm	pʰ aː m	p a m	P V M	P A M	1	285
132	Bahnar-Pleiku	bdq	blood		pʰaːm	pʰ aː m	p a m	P V M	P A M	1	285
133	Bru-Talan	oog	blood		haˀam	h aˀa m	h a m	H V M	H A M	1	285
134	Bru-Ubon	bru	blood		ʔaːhaːm	ʔ aː h aː m	7 a h a m	H V H V M	H A H A M	1	285
135	Khmer-Surin	kxm	blood		ʨhiːam	ʨ h iːa m	C h i m	K H V M	C H I M	1	285
136	Khmer-Standard	khm	blood		cʰiem	cʰ ie m	T i m	K V M	C I M	1	285
137	Mon	mnw	blood		cʰim	cʰ i m	T i m	K V M	C I M	1	285
138	Vietnamese	vie	blood		máu	m áu	m a	M V	M A	5	289
139	Bahnar-Pleiku	bdq	boat		pluŋ	p l u ŋ	p l u N	P R V N	P L Y N	3	297
140	Bru-Talan	oog	boat		roŋ	r o ŋ	r o N	R V N	R U N	6	300
141	Bru-Ubon	bru	boat		tṳǝʔ	t ṳǝ ʔ	t i 7	T V H	T Y H	2	295
142	Khmer-Surin	kxm	boat		tuːɁ	t uː Ɂ	t u 7	T V H	T Y H	2	295
143	Khmer-Standard	khm	boat		tùːk	t uː k	t u k	T V K	T Y K	2	295
144	Mon	mnw	boat		klə̀ŋ	k l ə̀ ŋ	k l I N	K R V N	K L E N	9	303
145	Vietnamese	vie	boat		nốc	n o c	n o T	N V K	N U C	2	295
146	Bahnar-Golar	bdq	body hair/feathers		sɔk	s ɔ k	s o k	S V K	S U K	1	304
147	Bahnar-Kontum	bdq	body hair/feathers		sɔk	s ɔ k	s o k	S V K	S U K	1	304
148	Bahnar-Pleiku	bdq	body hair/feathers		sɔk	s ɔ k	s o k	S V K	S U K	1	304
149	Bru-Talan	oog	body hair/feathers		cʰɔkmɔˀɔr	cʰɔk mɔˀɔr	T m	K M	C M	1	304
150	Bru-Ubon	bru	body hair/feathers		soʔ	s o ʔ	s o 7	S V H	S U H	1	304
151	Khmer-Surin	kxm	body hair/feathers		mmɪːh	mm ɪː h	m i h	M V H	M I H	10	305
152	Khmer-Standard	khm	body hair/feathers		saʔrəjraːkaː	s a ʔ r ə j r aː k aː	s a 7 r I y r a k a	S V H R V J R V K V	S A H R E J R A K A	11	306
153	Mon	mnw	body hair/feathers		sok	s o k	s o k	S V K	S U K	1	304
154	Vietnamese	vie	body hair/feathers		tóc	t ó c	t o T	T V K	T U C	1	304
155	Bahnar-Golar	bdq	bone		kətiːŋ	k ə t iː ŋ	k I t i N	K V T V N	K E T I N	2	321
156	Bahnar-Kontum	bdq	bone		kətiːŋ	k ə t iː ŋ	k I t i N	K V T V N	K E T I N	2	321
157	Bahnar-Pleiku	bdq	bone		kətiːŋ	k ə t iː ŋ	k I t i N	K V T V N	K E T I N	2	321
158	Bru-Talan	oog	bone		haˀaŋ	h aˀa ŋ	h a N	H V N	H A N	3	322
159	Bru-Ubon	bru	bone		ŋhaːŋ	ŋ h aː ŋ	N h a N	N H V N	N H A N	3	322
160	Khmer-Surin	kxm	bone		ʨɁʌŋ	ʨ Ɂ ʌ ŋ	C 7 o N	K H V N	C H E N	1	320
161	Khmer-Standard	khm	bone		cʔəŋ	c ʔ ə ŋ	T 7 I N	K H V N	C H E N	1	320
162	Mon	mnw	bone		cùt	c u t	T u t	K V T	C Y T	5	323
163	Vietnamese	vie	bone		xương	x u o n g	x u o n g	K V V N K	G Y U N K	2	321
164	Bahnar-Golar	bdq	bow, crossbow		hraʔ	h r a ʔ	h r a 7	H R V H	H R A H	4	337
165	Bahnar-Kontum	bdq	bow, crossbow		hără	h ă r ă	h a r a	H V R V	H A R A	4	337
166	Bahnar-Pleiku	bdq	bow, crossbow		hraʔ	h r a ʔ	h r a 7	H R V H	H R A H	4	337
167	Bru-Talan	oog	bow, crossbow		thənuːpɛːɲ	thənuː pɛːɲ	t p	T P	T P	12	325
168	Bru-Ubon	bru	bow, crossbow		sənaː	s ə n aː	s I n a	S V N V	S E N A	8	341
169	Khmer-Surin	kxm	bow, crossbow		snaː	s n aː	s n a	S N V	S N A	8	341
170	Khmer-Standard	khm	bow, crossbow		snaː	s n aː	s n a	S N V	S N A	8	341
171	Mon	mnw	bow, crossbow		ŋaʔ	ŋ a ʔ	N a 7	N V H	N A H	19	331
172	Vietnamese	vie	bow, crossbow		ná	n á	n a	N V	N A	8	341
173	Bahnar-Golar	bdq	brain		ʔŋɔːk	ʔ ŋ ɔː k	7 N o k	H N V K	H N U K	4	359
174	Bahnar-Kontum	bdq	brain		ʔŋɔːk	ʔ ŋ ɔː k	7 N o k	H N V K	H N U K	4	359
175	Bahnar-Pleiku	bdq	brain		ʔŋɔːk	ʔ ŋ ɔː k	7 N o k	H N V K	H N U K	4	359
176	Bru-Ubon	bru	brain		kubɔʔ	k u b ɔ ʔ	k u b o 7	K V P V H	K Y P U H	8	363
177	Khmer-Surin	kxm	brain		kʰʊːr	kʰ ʊː r	k u r	K V R	K Y R	10	342
178	Khmer-Standard	khm	brain		kʰuə	kʰ uə	k u	K V	K Y	10	342
179	Mon	mnw	brain		dɔh	d ɔ h	d o h	T V H	T U H	16	348
180	Vietnamese	vie	brain		óc	ó c	o T	V K	U C	5	360
181	Bahnar-Golar	bdq	branch		təɓlaː	t ə ɓ l aː	t I b l a	T V P R V	T E P L A	5	392
182	Bahnar-Kontum	bdq	branch		təba	t ə b a	t I b a	T V P V	T E P A	2	374
183	Bahnar-Pleiku	bdq	branch		təɓlaː	t ə ɓ l aː	t I b l a	T V P R V	T E P L A	5	392
184	Bru-Talan	oog	branch		ŋkɛːŋ	ŋ k ɛː ŋ	N k E N	N K V N	N K E N	20	375
185	Bru-Ubon	bru	branch		wil	w i l	w i l	W V R	W I L	21	376
186	Khmer-Surin	kxm	branch		meːɁ	m eː Ɂ	m e 7	M V H	M E H	4	391
187	Khmer-Standard	khm	branch		mɛːɁ	m ɛː Ɂ	m E 7	M V H	M E H	4	391
188	Mon	mnw	branch		naɲcʰuʔ	naɲ cʰuʔ	n T	N K	N C	32	384
189	Vietnamese	vie	branch		cành	c à n h	T a n h	K V N H	C A N H	19	373
190	Bahnar-Golar	bdq	breast		tɔh	t ɔ h	t o h	T V H	T U H	3	406
191	Bahnar-Kontum	bdq	breast		tɔh	t ɔ h	t o h	T V H	T U H	3	406
192	Bahnar-Pleiku	bdq	breast		tɔh	t ɔ h	t o h	T V H	T U H	3	406
193	Bru-Talan	oog	breast		toh	t o h	t o h	T V H	T U H	3	406
194	Bru-Ubon	bru	breast		toh	t o h	t o h	T V H	T U H	3	406
195	Khmer-Surin	kxm	breast		dâh	d â h	d a h	T V H	T A H	3	406
196	Khmer-Standard	khm	breast		dɔh	d ɔ h	d o h	T V H	T U H	3	406
197	Mon	mnw	breast		tah	t a h	t a h	T V H	T A H	3	406
198	Vietnamese	vie	breast		vú	v ú	v u	W V	B Y	1	396
199	Bahnar-Golar	bdq	chicken/fowl		ʔjɛr	ʔ j ɛ r	7 y E r	H J V R	H J E R	1	409
200	Bahnar-Kontum	bdq	chicken/fowl		ʔjɛr	ʔ j ɛ r	7 y E r	H J V R	H J E R	1	409
201	Bahnar-Pleiku	bdq	chicken/fowl		ʔjɛr	ʔ j ɛ r	7 y E r	H J V R	H J E R	1	409
202	Bru-Talan	oog	chicken/fowl		ntruˀj	n t r uˀ j	n t r u y	N T R V J	N T R Y J	2	415
203	Bru-Ubon	bru	chicken/fowl		ntruəj	n t r uə j	n t r u y	N T R V J	N T R Y J	2	415
204	Khmer-Surin	kxm	chicken/fowl		mɯan	m ɯa n	m u n	M V N	M I N	6	419
205	Khmer-Standard	khm	chicken/fowl		mòən	m òə n	m o n	M V N	M U N	6	419
206	Mon	mnw	chicken/fowl		caɲ	c a ɲ	T a H	K V N	C A N	8	421
207	Vietnamese	vie	chicken/fowl		gà	g à	g a	K V	K A	17	414
208	Bahnar-Golar	bdq	child/son		kɔːn	k ɔː n	k o n	K V N	K U N	3	424
209	Bahnar-Kontum	bdq	child/son		kɔːn	k ɔː n	k o n	K V N	K U N	3	424
210	Bahnar-Pleiku	bdq	child/son		kɔːn	k ɔː n	k o n	K V N	K U N	3	424
211	Bru-Talan	oog	child/son		kərnian	k ə r n ia n	k I r n i n	K V R N V N	K E R N I N	4	425
212	Bru-Ubon	bru	child/son		rənɛːn	r ə n ɛː n	r I n E n	R V N V N	R E N E N	4	425
213	Khmer-Surin	kxm	child/son		koːn	k oː n	k o n	K V N	K U N	3	424
214	Khmer-Standard	khm	child/son		koun	k ou n	k o n	K V N	K U N	3	424
215	Mon	mnw	child/son		kon	k o n	k o n	K V N	K U N	3	424
216	Vietnamese	vie	child/son		con	c o n	T o n	K V N	C U N	3	424
217	Bahnar-Golar	bdq	cloud		həməl	h ə m ə l	h I m I l	H V M V R	H E M E L	6	449
218	Bahnar-Kontum	bdq	cloud		həməl	h ə m ə l	h I m I l	H V M V R	H E M E L	6	449
219	Bahnar-Pleiku	bdq	cloud		həməl	h ə m ə l	h I m I l	H V M V R	H E M E L	6	449
220	Bru-Talan	oog	cloud		təluk	t ə l u k	t I l u k	T V R V K	T E L Y K	9	452
221	Bru-Ubon	bru	cloud		rəmil	r ə m i l	r I m i l	R V M V R	R E M I L	6	449
222	Khmer-Surin	kxm	cloud		ppuəʔ	pp uə ʔ	p u 7	P V H	P Y H	5	448
223	Khmer-Standard	khm	cloud		pɔpɔːɁ	p ɔ p ɔː Ɂ	p o p o 7	P V P V H	P U P U H	5	448
224	Mon	mnw	cloud		mòtprèa	mòt prèa	m p	M P	M P	20	439
225	Vietnamese	vie	cloud		mây	m â y	m a i	M V V	M A Y	6	449
226	Bahnar-Golar	bdq	cold		təŋjɛt	t ə ŋ j ɛ t	t I N y E t	T V N J V T	T E N J E T	2	462
227	Bahnar-Kontum	bdq	cold		təŋjɛt	t ə ŋ j ɛ t	t I N y E t	T V N J V T	T E N J E T	2	462
228	Bahnar-Pleiku	bdq	cold		təŋjɛt	t ə ŋ j ɛ t	t I N y E t	T V N J V T	T E N J E T	2	462
229	Bru-Talan	oog	cold		ŋaˀar	ŋ aˀa r	N a r	N V R	N A R	14	457
230	Bru-Ubon	bru	cold		səŋɛːt	s ə ŋ ɛː t	s I N E t	S V N V T	S E N E T	5	478
231	Khmer-Surin	kxm	cold		rŋiːa	r ŋ iːa	r N i	R N V	R N I	19	461
232	Khmer-Standard	khm	cold		rɔŋie	r ɔ ŋ ie	r o N i	R V N V	R U N I	19	461
233	Mon	mnw	cold		bɑh	b ɑ h	b o h	P V H	P A H	27	469
234	Bahnar-Golar	bdq	dog		kɔʔ	k ɔ ʔ	k o 7	K V H	K U H	4	486
235	Bahnar-Kontum	bdq	dog		kɔʔ	k ɔ ʔ	k o 7	K V H	K U H	4	486
236	Bahnar-Pleiku	bdq	dog		kɔʔ	k ɔ ʔ	k o 7	K V H	K U H	4	486
237	Bru-Talan	oog	dog		cɔˀɔ	c ɔˀɔ	T o	K V	C U	2	485
238	Bru-Ubon	bru	dog		ʔaːcɔː	ʔ aː c ɔː	7 a T o	H V K V	H A C U	2	485
239	Khmer-Surin	kxm	dog		ckɛː	c k ɛː	T k E	K K V	C K E	5	487
240	Khmer-Standard	khm	dog		cʰəkɛː	cʰ ə k ɛː	T I k E	K V K V	C E K E	5	487
241	Mon	mnw	dog		kluiw	k l ui w	k l u w	K R V W	K L Y W	6	488
242	Vietnamese	vie	dog		chó	c h ó	T h o	K H V	C H U	2	485
243	Bahnar-Golar	bdq	dry		hrɛŋ	h r ɛ ŋ	h r E N	H R V N	H R E N	9	535
244	Bahnar-Kontum	bdq	dry		hrɛŋ	h r ɛ ŋ	h r E N	H R V N	H R E N	9	535
245	Bahnar-Pleiku	bdq	dry		srɛŋ	s r ɛ ŋ	s r E N	S R V N	S R E N	9	535
246	Bru-Talan	oog	dry		crɛˀɛŋ	c r ɛˀɛ ŋ	T r E N	K R V N	C R E N	9	535
247	Bru-Ubon	bru	dry		səʔəːt	s ə ʔ əː t	s I 7 I t	S V H V T	S E H E T	22	501
248	Khmer-Surin	kxm	dry		sŋʊːt	s ŋ ʊː t	s N u t	S N V T	S N Y T	31	509
249	Khmer-Standard	khm	dry		riːŋ	r iː ŋ	r i N	R V N	R I N	9	535
250	Mon	mnw	dry		kɔh	k ɔ h	k o h	K V H	K U H	38	515
251	Vietnamese	vie	dry		khô	k h ô	k h o	K H V	K H U	69	533
252	Bahnar-Golar	bdq	ear		ɗɔːn	ɗ ɔː n	d o n	T V N	T U N	3	541
253	Bahnar-Kontum	bdq	ear		ɗɔːn	ɗ ɔː n	d o n	T V N	T U N	3	541
254	Bahnar-Pleiku	bdq	ear		ɗɔːn	ɗ ɔː n	d o n	T V N	T U N	3	541
255	Bru-Talan	oog	ear		kətoːr	k ə t oː r	k I t o r	K V T V R	K E T U R	2	540
256	Bru-Ubon	bru	ear		kətuːr	k ə t uː r	k I t u r	K V T V R	K E T Y R	2	540
257	Khmer-Surin	kxm	ear		tʨɪːɁ	t ʨ ɪː Ɂ	t C i 7	T K V H	T C I H	7	545
258	Khmer-Standard	khm	ear		trɑciəʔ	t r ɑ c iə ʔ	t r o T i 7	T R V K V H	T R A C I H	7	545
259	Mon	mnw	ear		kato	k a t o	k a t o	K V T V	K A T U	2	540
260	Vietnamese	vie	ear		tai	t ai	t a	T V	T A	16	539
261	Bahnar-Golar	bdq	earth -soil		tɛh	t ɛ h	t E h	T V H	T E H	4	559
262	Bahnar-Kontum	bdq	earth -soil		tɛh	t ɛ h	t E h	T V H	T E H	4	559
263	Bahnar-Pleiku	bdq	earth -soil		tɛh	t ɛ h	t E h	T V H	T E H	4	559
264	Bru-Talan	oog	earth -soil		kətɛˀɛʔ	k ə t ɛˀɛ ʔ	k I t E 7	K V T V H	K E T E H	6	561
265	Bru-Ubon	bru	earth -soil		kətɛːʔ	k ə t ɛː ʔ	k I t E 7	K V T V H	K E T E H	6	561
266	Khmer-Surin	kxm	earth -soil		dɛj	d ɛ j	d E y	T V J	T E J	1	548
267	Khmer-Standard	khm	earth -soil		dɤj	d ɤ j	d o y	T V J	T E J	1	548
268	Mon	mnw	earth -soil		tɔeʔ	t ɔe ʔ	t o 7	T V H	T U H	1	548
269	Vietnamese	vie	earth -soil		đất	đ a t	8 a t	T V T	D A T	25	556
