DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
BAHNAR	bdq	one	1493	11	mo5	1		moɲ	126
CHRAU	crw	one	1493	11	muoi	1	also: du	muoi	127
VIETNAMESE	vie	one	1493	11	mot	1		mot	128
RUC	scb	one	1493	11	moiC	1		moit͡ʃ	129
MON	mnw	one	1493	11	mw~ay	1		mʷaj	130
NYAKUR	cbn	one	1493	11	mu3y	1		muəj	131
KHMER	khm	one	1493	11	muey	1		muej	132
KUI_THAILAND	kdt	one	1493	11	mui	1		mui	133
SEMAI	sea	one	1493	11	nan37	2		nanəʔ	134
KHMU	kjg	one	1493	11	moy	1		moj	135
KHASI	kha	one	1493	11	wei	4		wei	136
MUNDARI	unr	one	1493	11	miyod	1		mijod	137
JEH	jeh	two	1498	12	bal	1		bal	138
BAHNAR	bdq	two	1498	12	bar	1		bar	139
CHRAU	crw	two	1498	12	var	1		var	140
VIETNAMESE	vie	two	1498	12	hai	1		hai	141
RUC	scb	two	1498	12	hal	1		hal	142
MON	mnw	two	1498	12	ba	1		ba	143
NYAKUR	cbn	two	1498	12	bar	1		bar	144
KHMER	khm	two	1498	12	bir	1		bir	145
KUI_THAILAND	kdt	two	1498	12	bia	1		bia	146
SEMAI	sea	two	1498	12	nar	1		nar	147
WA	wbm	two	1498	12	ra	1		ra	148
KHMU	kjg	two	1498	12	par	1		par	149
KHASI	kha	two	1498	12	ar	1		ar	150
MUNDARI	unr	two	1498	12	bar	1		bar	151
JEH	jeh	long	1203	14	proih	1		proih	152
BAHNAR	bdq	long	1203	14	keZuN	2		keʒuŋ	153
CHRAU	crw	long	1203	14	joN	2		d͡ʒoŋ	154
VIETNAMESE	vie	long	1203	14	Zai	3		ʒai	155
RUC	scb	long	1203	14	yal	3		jal	156
MON	mnw	long	1203	14	ZliN	2		ʒliŋ	157
NYAKUR	cbn	long	1203	14	kh~li5	2		kʰliɲ	158
KHMER	khm	long	1203	14	vEN	4		vɛŋ	159
KUI_THAILAND	kdt	long	1203	14	nth$r3N	2		ⁿtʰrəŋ	160
SEMAI	sea	long	1203	14	Cr3kN	2		t͡ʃrəkŋ	161
WA	wbm	long	1203	14	laN	2		laŋ	162
DEANG	pce	long	1203	14	doN	2		doŋ	163
KHMU	kjg	long	1203	14	waN	5		waŋ	164
KSINMUL	puo	long	1203	14	3loN	2		əloŋ	165
KHASI	kha	long	1203	14	ZeroN	2		ʒeroŋ	166
MUNDARI	unr	long	1203	14	ZiliN	2		ʒiliŋ	167
BAHNAR	bdq	woman	962	16	drakan	1		drakan	168
MON	mnw	woman	962	16	brau	3		brau	169
NYAKUR	cbn	woman	962	16	ph~3ph~raw	3		pʰəpʰraw	170
KUI_THAILAND	kdt	woman	962	16	kuik3pai	4		kuikəpai	171
SEMAI	sea	woman	962	16	krdor	5		krdor	172
WA	wbm	woman	962	16	bun	6		bun	173
DEANG	pce	woman	962	16	i pon	6		i pon	174
KHMU	kjg	woman	962	16	C3mk3n	1		t͡ʃəmkən	175
KHASI	kha	woman	962	16	briw	3		briw	176
MUNDARI	unr	woman	962	16	kuri	9		kuri	177
BAHNAR	bdq	man	1554	17	droNlo	1		droŋlo	178
MON	mnw	man	1554	17	tru7	3		truʔ	179
NYAKUR	cbn	man	1554	17	tuytruZ	3		tujtruʒ	180
KUI_THAILAND	kdt	man	1554	17	kui th~ol	4		kui tʰol	181
SEMAI	sea	man	1554	17	kral	5		kral	182
WA	wbm	man	1554	17	sime7	6		simeʔ	183
DEANG	pce	man	1554	17	mai	6		mai	184
KHASI	kha	man	1554	17	ai briw	3		ai briw	185
MUNDARI	unr	man	1554	17	kora	7		kora	186
JEH	jeh	person	683	18	m3Nai	1		məŋai	187
BAHNAR	bdq	person	683	18	b3Nai	1		bəŋai	188
CHRAU	crw	person	683	18	tamun	2		tamun	189
VIETNAMESE	vie	person	683	18	Nuoi	1		ŋuoi	190
RUC	scb	person	683	18	Nay	1		ŋaj	191
KUI_THAILAND	kdt	person	683	18	kui	3		kui	192
SEMAI	sea	person	683	18	sn7~oy	1		sⁿʔoj	193
WA	wbm	person	683	18	pui	4		pui	194
DEANG	pce	person	683	18	to i	5		to i	195
KHMU	kjg	person	683	18	k3mmu	6		kəmmu	196
KSINMUL	puo	person	683	18	ksiN	7		ksiŋ	197
KHASI	kha	person	683	18	briw	8		briw	198
MUNDARI	unr	person	683	18	horo	9		horo	199
JEH	jeh	fish	227	19	ka	1		ka	200
BAHNAR	bdq	fish	227	19	ka	1		ka	201
CHRAU	crw	fish	227	19	ka	1		ka	202
VIETNAMESE	vie	fish	227	19	ka	1		ka	203
RUC	scb	fish	227	19	aka	1		aka	204
MON	mnw	fish	227	19	ka	1		ka	205
NYAKUR	cbn	fish	227	19	ka7	1		kaʔ	206
KHMER	khm	fish	227	19	tr~i	2		tri	207
KUI_THAILAND	kdt	fish	227	19	ka	1		ka	208
SEMAI	sea	fish	227	19	ka7	1		kaʔ	209
WA	wbm	fish	227	19	ka7	1		kaʔ	210
DEANG	pce	fish	227	19	ka	1		ka	211
KHMU	kjg	fish	227	19	ka	1		ka	212
KSINMUL	puo	fish	227	19	ka	1		ka	213
KHASI	kha	fish	227	19	dohkh~a	1		dohkʰa	214
MUNDARI	unr	fish	227	19	hai	1		hai	215
JEH	jeh	dog	2009	21	Co	1		t͡ʃo	216
BAHNAR	bdq	dog	2009	21	ko	2		ko	217
CHRAU	crw	dog	2009	21	so	1		so	218
VIETNAMESE	vie	dog	2009	21	to	1		to	219
RUC	scb	dog	2009	21	aCo	1		at͡ʃo	220
MON	mnw	dog	2009	21	kluiw	3		kluiw	221
NYAKUR	cbn	dog	2009	21	Ch~ur	3		t͡ʃʰur	222
KHMER	khm	dog	2009	21	Ch~3kE	2		t͡ʃʰəkɛ	223
KUI_THAILAND	kdt	dog	2009	21	Ca	1		t͡ʃa	224
SEMAI	sea	dog	2009	21	Co7	1		t͡ʃoʔ	225
WA	wbm	dog	2009	21	so7	1		soʔ	226
DEANG	pce	dog	2009	21	a7o7	5		aʔoʔ	227
KHMU	kjg	dog	2009	21	so	1		so	228
KSINMUL	puo	dog	2009	21	ksew	1		ksew	229
KHASI	kha	dog	2009	21	ksew	1		ksew	230
MUNDARI	unr	dog	2009	21	seta	4		seta	231
JEH	jeh	louse	1392	22	k3Cay	1		kət͡ʃaj	232
BAHNAR	bdq	louse	1392	22	si	1		si	233
CHRAU	crw	louse	1392	22	si	1		si	234
VIETNAMESE	vie	louse	1392	22	ti	1		ti	235
RUC	scb	louse	1392	22	Ci	1		t͡ʃi	236
MON	mnw	louse	1392	22	Cay	1		t͡ʃaj	237
NYAKUR	cbn	louse	1392	22	Cay	1		t͡ʃaj	238
KHMER	khm	louse	1392	22	Cay	1		t͡ʃaj	239
KUI_THAILAND	kdt	louse	1392	22	5CE7	1		ɲt͡ʃɛʔ	240
SEMAI	sea	louse	1392	22	CE7	1		t͡ʃɛʔ	241
WA	wbm	louse	1392	22	si7	1		siʔ	242
DEANG	pce	louse	1392	22	sai	1		sai	243
KHMU	kjg	louse	1392	22	se	1		se	244
KSINMUL	puo	louse	1392	22	cey	1		t͡sej	245
KHASI	kha	louse	1392	22	ksi	1		ksi	246
MUNDARI	unr	louse	1392	22	si ku	1		si ku	247
JEH	jeh	tree	906	23	loN	1		loŋ	248
BAHNAR	bdq	tree	906	23	loN	1		loŋ	249
CHRAU	crw	tree	906	23	Ch~o	2		t͡ʃʰo	250
VIETNAMESE	vie	tree	906	23	kay	3		kaj	251
RUC	scb	tree	906	23	k3y	3		kəj	252
MON	mnw	tree	906	23	Ch~u	2		t͡ʃʰu	253
NYAKUR	cbn	tree	906	23	Ch~u7	2		t͡ʃʰuʔ	254
KHMER	khm	tree	906	23	ta3m Zh~a3	2		taəm ʒʰaə	255
SEMAI	sea	tree	906	23	Zh~u7	2		ʒʰuʔ	256
WA	wbm	tree	906	23	kh~au7	2		kʰauʔ	257
DEANG	pce	tree	906	23	he	5		he	258
KHMU	kjg	tree	906	23	s37oN	6		səʔoŋ	259
KSINMUL	puo	tree	906	23	C37u3N	6		t͡ʃəʔuəŋ	260
KHASI	kha	tree	906	23	dieN	7		dieŋ	261
MUNDARI	unr	tree	906	23	daru	8		daru	262
VIETNAMESE	vie	seed	714	24	hot	1		hot	263
RUC	scb	seed	714	24	kayaN	1		kajaŋ	264
KHMER	khm	seed	714	24	grap	2		ɡrap	265
KUI_THAILAND	kdt	seed	714	24	klaN	3		klaŋ	266
SEMAI	sea	seed	714	24	sip	4		sip	267
WA	wbm	seed	714	24	sok	5		sok	268
DEANG	pce	seed	714	24	kau	6		kau	269
KHMU	kjg	seed	714	24	p3liar	7		pəliar	270
KHASI	kha	seed	714	24	sinai	8		sinai	271
MUNDARI	unr	seed	714	24	hita	9		hita	272
JEH	jeh	leaf	628	25	la	1		la	273
BAHNAR	bdq	leaf	628	25	hla	1		hla	274
CHRAU	crw	leaf	628	25	la	1		la	275
VIETNAMESE	vie	leaf	628	25	la	1		la	276
RUC	scb	leaf	628	25	ula	1		ula	277
MON	mnw	leaf	628	25	sla	1		sla	278
NYAKUR	cbn	leaf	628	25	hla7	1		hlaʔ	279
KHMER	khm	leaf	628	25	s3l3k	4		sələk	280
KUI_THAILAND	kdt	leaf	628	25	sla	1		sla	281
SEMAI	sea	leaf	628	25	sla7	1		slaʔ	282
WA	wbm	leaf	628	25	hla7	1		hlaʔ	283
DEANG	pce	leaf	628	25	hla	1		hla	284
KHMU	kjg	leaf	628	25	la	1		la	285
KSINMUL	puo	leaf	628	25	b3w	2		bəw	286
KHASI	kha	leaf	628	25	sla	1		sla	287
MUNDARI	unr	leaf	628	25	sakam	3		sakam	288
JEH	jeh	root	670	26	riah	1		riah	289
BAHNAR	bdq	root	670	26	r3h	1		rəh	290
CHRAU	crw	root	670	26	diyieh	1		dijieh	291
VIETNAMESE	vie	root	670	26	re	1		re	292
RUC	scb	root	670	26	liErih	1		liɛrih	293
MON	mnw	root	670	26	ruih	1		ruih	294
NYAKUR	cbn	root	670	26	rihrak	1		rihrak	295
KHMER	khm	root	670	26	r3k	1		rək	296
KUI_THAILAND	kdt	root	670	26	rEh	1		rɛh	297
SEMAI	sea	root	670	26	r7~es	1		rʔes	298
WA	wbm	root	670	26	riah	1		riah	299
DEANG	pce	root	670	26	riaih	1		riaih	300
KHMU	kjg	root	670	26	rias	1		rias	301
KSINMUL	puo	root	670	26	geh	1		ɡeh	302
KHASI	kha	root	670	26	tinrai	1		tinrai	303
MUNDARI	unr	root	670	26	red	1		red	304
JEH	jeh	bark	1204	27	k3duh	1		kəduh	305
BAHNAR	bdq	bark	1204	27	hmok	2		hmok	306
CHRAU	crw	bark	1204	27	mo7	2		moʔ	307
VIETNAMESE	vie	bark	1204	27	vo kay	3		vo kaj	308
RUC	scb	bark	1204	27	k3duh	1		kəduh	309
MON	mnw	bark	1204	27	sakow	4		sakow	310
NYAKUR	cbn	bark	1204	27	Nku3r	4		ŋkuər	311
KHMER	khm	bark	1204	27	s3mbak	2		səmbak	312
KUI_THAILAND	kdt	bark	1204	27	mph~ua7	2		mpʰuaʔ	313
SEMAI	sea	bark	1204	27	Ckop	5		t͡ʃkop	314
WA	wbm	bark	1204	27	hlo7	6		hloʔ	315
DEANG	pce	bark	1204	27	go7	10		ɡoʔ	316
KHMU	kjg	bark	1204	27	h3mpok	2		həmpok	317
KSINMUL	puo	bark	1204	27	b3N	7		bəŋ	318
KHASI	kha	bark	1204	27	snep	8		snep	319
MUNDARI	unr	bark	1204	27	harta	9		harta	320
JEH	jeh	skin	763	28	pal	1		pal	321
BAHNAR	bdq	skin	763	28	3kar	2		əkar	322
CHRAU	crw	skin	763	28	nto	3		nto	323
VIETNAMESE	vie	skin	763	28	Za	4		ʒa	324
MON	mnw	skin	763	28	snam	5		snam	325
NYAKUR	cbn	skin	763	28	hnam	5		hnam	326
KHMER	khm	skin	763	28	s3pEk	6		səpɛk	327
SEMAI	sea	skin	763	28	gt37	3		ɡtəʔ	328
WA	wbm	skin	763	28	hak	7		hak	329
DEANG	pce	skin	763	28	hur	8		hur	330
KHMU	kjg	skin	763	28	h3mpur	8		həmpur	331
KSINMUL	puo	skin	763	28	b3N	9		bəŋ	332
KHASI	kha	skin	763	28	kh~oh	10		kʰoh	333
MUNDARI	unr	skin	763	28	ur	8		ur	334
JEH	jeh	meat	634	29	sinek	1		sinek	335
BAHNAR	bdq	meat	634	29	5em	2		ɲem	336
CHRAU	crw	meat	634	29	goN	3		ɡoŋ	337
VIETNAMESE	vie	meat	634	29	8it	1		θit	338
RUC	scb	meat	634	29	sit	1		sit	339
MON	mnw	meat	634	29	Cun	4		t͡ʃun	340
NYAKUR	cbn	meat	634	29	hw~a7	5		ʰʷaʔ	341
KHMER	khm	meat	634	29	saC	1		sat͡ʃ	342
KUI_THAILAND	kdt	meat	634	29	saC	1		sat͡ʃ	343
SEMAI	sea	meat	634	29	sEC	1		sɛt͡ʃ	344
WA	wbm	meat	634	29	ne7	6		neʔ	345
DEANG	pce	meat	634	29	yoN	7		joŋ	346
KHMU	kjg	meat	634	29	ah	8		ah	347
KSINMUL	puo	meat	634	29	ksoN	9		ksoŋ	348
KHASI	kha	meat	634	29	doh	10		doh	349
MUNDARI	unr	meat	634	29	Zilu	11		ʒilu	350
JEH	jeh	blood	946	30	ph~am	1		pʰam	351
BAHNAR	bdq	blood	946	30	ph~am	1		pʰam	352
CHRAU	crw	blood	946	30	n7ham	1		nʔham	353
VIETNAMESE	vie	blood	946	30	mau	2		mau	354
RUC	scb	blood	946	30	asam	1		asam	355
MON	mnw	blood	946	30	Ch~im	1		t͡ʃʰim	356
NYAKUR	cbn	blood	946	30	Ch~im	1		t͡ʃʰim	357
KHMER	khm	blood	946	30	Zh~am	1		ʒʰam	358
KUI_THAILAND	kdt	blood	946	30	3ham	1		əham	359
SEMAI	sea	blood	946	30	bh~ipm~	1		bʰipm	360
WA	wbm	blood	946	30	nh~am	1		ⁿʰam	361
DEANG	pce	blood	946	30	nh~am	1		ⁿʰam	362
KHMU	kjg	blood	946	30	mam	1		mam	363
KSINMUL	puo	blood	946	30	mi3m	1		miəm	364
KHASI	kha	blood	946	30	snam	1		snam	365
MUNDARI	unr	blood	946	30	mayam	1		majam	366
JEH	jeh	bone	1394	31	k3siaN	1		kəsiaŋ	367
BAHNAR	bdq	bone	1394	31	k3tiN	1		kətiŋ	368
CHRAU	crw	bone	1394	31	ntiN	1		ntiŋ	369
VIETNAMESE	vie	bone	1394	31	SuoN	1		ʃuoŋ	370
RUC	scb	bone	1394	31	saN	1		saŋ	371
MON	mnw	bone	1394	31	Zut	2		ʒut	372
NYAKUR	cbn	bone	1394	31	Ch~3lut	2		t͡ʃʰəlut	373
KHMER	khm	bone	1394	31	Ch7$3N	1		t͡ʃʰʔəŋ	374
KUI_THAILAND	kdt	bone	1394	31	Nh~aN	1		ŋʰaŋ	375
SEMAI	sea	bone	1394	31	Z7~akN~	1		ʒʔakŋ	376
WA	wbm	bone	1394	31	sisaN	1		sisaŋ	377
DEANG	pce	bone	1394	31	"k""7~aN"	1		kʼʔaŋ	378
KHMU	kjg	bone	1394	31	C37aN	1		t͡ʃəʔaŋ	379
KSINMUL	puo	bone	1394	31	laN	1		laŋ	380
KHASI	kha	bone	1394	31	"sh""~ieN"	1		sʰʼieŋ	381
MUNDARI	unr	bone	1394	31	ZaN	1		ʒaŋ	382
JEH	jeh	grease	1282	32	p3dreN	1		pədreŋ	383
RUC	scb	grease	1282	32	kluN	3		kluŋ	384
MON	mnw	grease	1282	32	kleN	3		kleŋ	385
NYAKUR	cbn	grease	1282	32	k3li5	3		kəliɲ	386
KHMER	khm	grease	1282	32	kh~la5	3		kʰlaɲ	387
KUI_THAILAND	kdt	grease	1282	32	5Ch~EN	4		ɲt͡ʃʰɛŋ	388
SEMAI	sea	grease	1282	32	l7~us	5		lʔus	389
WA	wbm	grease	1282	32	b3	6		bə	390
MUNDARI	unr	grease	1282	32	itil	7		itil	391
JEH	jeh	egg	744	33	t3tap	1		tətap	392
CHRAU	crw	egg	744	33	Cap	1		t͡ʃap	393
VIETNAMESE	vie	egg	744	33	CuN	2		t͡ʃuŋ	394
RUC	scb	egg	744	33	t3lul	8		təlul	395
MON	mnw	egg	744	33	kh~amhay	3		kʰamhaj	396
KHMER	khm	egg	744	33	boN	4		boŋ	397
KUI_THAILAND	kdt	egg	744	33	nth$rEl	8		ⁿtʰrɛl	398
SEMAI	sea	egg	744	33	pNl3kN~	2		pŋləkŋ	399
WA	wbm	egg	744	33	tom	5		tom	400
DEANG	pce	egg	744	33	krau	6		krau	401
KHMU	kjg	egg	744	33	k3toN	7		kətoŋ	402
KSINMUL	puo	egg	744	33	kloN	2		kloŋ	403
KHASI	kha	egg	744	33	pilleN	2		pilleŋ	404
MUNDARI	unr	egg	744	33	Zarom	9		ʒarom	405
JEH	jeh	horn	1393	34	t3koy	1		təkoj	406
BAHNAR	bdq	horn	1393	34	ake	5		ake	407
RUC	scb	horn	1393	34	kr3N	2		krəŋ	408
MON	mnw	horn	1393	34	draN	2		draŋ	409
NYAKUR	cbn	horn	1393	34	th~raN	2		tʰraŋ	410
KHMER	khm	horn	1393	34	s3nEN	3		sənɛŋ	411
KUI_THAILAND	kdt	horn	1393	34	t3kai	1		təkai	412
WA	wbm	horn	1393	34	ruN	2		ruŋ	413
DEANG	pce	horn	1393	34	nuN	6		nuŋ	414
KHMU	kjg	horn	1393	34	Centr~3N	2		t͡ʃentrəŋ	415
KSINMUL	puo	horn	1393	34	C3lgan	4		t͡ʃəlɡan	416
KHASI	kha	horn	1393	34	reN	2		reŋ	417
MUNDARI	unr	horn	1393	34	diriN	2		diriŋ	418
JEH	jeh	tail	1220	35	teN	1		teŋ	419
BAHNAR	bdq	tail	1220	35	kieN	1		kieŋ	420
CHRAU	crw	tail	1220	35	tieN	1		tieŋ	421
VIETNAMESE	vie	tail	1220	35	Zuoi	2		ʒuoi	422
RUC	scb	tail	1220	35	tuoy	2		tuoj	423
MON	mnw	tail	1220	35	bata	3		bata	424
NYAKUR	cbn	tail	1220	35	p3ta7	3		pətaʔ	425
KHMER	khm	tail	1220	35	k3nd~uy	2		kəⁿduj	426
KUI_THAILAND	kdt	tail	1220	35	sal	4		sal	427
SEMAI	sea	tail	1220	35	snta7	3		sntaʔ	428
WA	wbm	tail	1220	35	sida7	3		sidaʔ	429
DEANG	pce	tail	1220	35	sta	3		sta	430
KHMU	kjg	tail	1220	35	h3nta	3		hənta	431
KSINMUL	puo	tail	1220	35	h3lta	3		həlta	432
KHASI	kha	tail	1220	35	tidoN	1		tidoŋ	433
MUNDARI	unr	tail	1220	35	Cadlom	5		t͡ʃadlom	434
JEH	jeh	feather	1201	36	suk	1		suk	435
BAHNAR	bdq	feather	1201	36	sok	1		sok	436
CHRAU	crw	feather	1201	36	sino7 sum	1		sinoʔ sum	437
VIETNAMESE	vie	feather	1201	36	loN tim	2		loŋ tim	438
RUC	scb	feather	1201	36	usuk	1		usuk	439
MON	mnw	feather	1201	36	s3neN	7		səneŋ	440
NYAKUR	cbn	feather	1201	36	Ch~okCh~ok	1		t͡ʃʰokt͡ʃʰok	441
KHMER	khm	feather	1201	36	slap	3		slap	442
KUI_THAILAND	kdt	feather	1201	36	so7	1		soʔ	443
SEMAI	sea	feather	1201	36	sntol	4		sntol	444
KHMU	kjg	feather	1201	36	kh~ul	5		kʰul	445
KSINMUL	puo	feather	1201	36	sok	1		sok	446
KHASI	kha	feather	1201	36	sner	6		sner	447
MUNDARI	unr	feather	1201	36	il	5		il	448
JEH	jeh	hair	1040	37	suk	1		suk	449
BAHNAR	bdq	hair	1040	37	sok	1		sok	450
CHRAU	crw	hair	1040	37	so7	1		soʔ	451
VIETNAMESE	vie	hair	1040	37	tok	1		tok	452
RUC	scb	hair	1040	37	usuk	1		usuk	453
MON	mnw	hair	1040	37	sok	1		sok	454
NYAKUR	cbn	hair	1040	37	Ch~ok	1		t͡ʃʰok	455
KHMER	khm	hair	1040	37	sok	1		sok	456
KUI_THAILAND	kdt	hair	1040	37	so7	1		soʔ	457
SEMAI	sea	hair	1040	37	sok	1		sok	458
WA	wbm	hair	1040	37	hauk	1		hauk	459
DEANG	pce	hair	1040	37	hu7	1		huʔ	460
KHMU	kjg	hair	1040	37	kl3	2		klə	461
KSINMUL	puo	hair	1040	37	sok	1		sok	462
KHASI	kha	hair	1040	37	sh~niuh	1		sʰniuh	463
