DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
MARIA_CHIMALAPA	zoh	all	98	9	aNtene	7		aŋtene	84
MIGUEL_CHIMALAPA	zoh	all	98	9	hemhi7	8		hemhiʔ	85
CHIAPAS_ZOQUE	zoc	all	98	9	mumu	5		mumu	86
NORTH_HIGHLAND_MIXE	mto	many	1198	10	may	1		maj	87
SOUTH_HIGHLAND_MIXE	mxp	many	1198	10	mEy	1		mɛj	88
LOWLAND_MIXE	mco	many	1198	10	may	1		maj	89
SAYULA_POPOLUCA	pos	many	1198	10	may	1		maj	90
OLUTA_POPOLUCA	plo	many	1198	10	pako	2	also: tana	pako	91
TEXISTEPEC_ZOQUE	poq	many	1198	10	daC ke	4	also: b3ks ke	dat͡ʃ_ke	92
SOTEAPAN_ZOQUE	poi	many	1198	10	agi	5	also: cam	aɡi	93
MARIA_CHIMALAPA	zoh	many	1198	10	s3h37	6		səhəʔ	94
MIGUEL_CHIMALAPA	zoh	many	1198	10	S3h37	6		ʃəhəʔ	95
CHIAPAS_ZOQUE	zoc	many	1198	10	w3w3	3	also: aN bat e	wəwə	96
NORTH_HIGHLAND_MIXE	mto	one	1493	11	tuk	1		tuk	97
SOUTH_HIGHLAND_MIXE	mxp	one	1493	11	tu7uk	1		tuʔuk	98
LOWLAND_MIXE	mco	one	1493	11	tu7uk	1		tuʔuk	99
SAYULA_POPOLUCA	pos	one	1493	11	tuk	1		tuk	100
OLUTA_POPOLUCA	plo	one	1493	11	tuk	1		tuk	101
TEXISTEPEC_ZOQUE	poq	one	1493	11	tum	2		tum	102
SOTEAPAN_ZOQUE	poi	one	1493	11	tum	2		tum	103
MARIA_CHIMALAPA	zoh	one	1493	11	tum3	2		tumə	104
MIGUEL_CHIMALAPA	zoh	one	1493	11	tum3	2		tumə	105
CHIAPAS_ZOQUE	zoc	one	1493	11	tum3	2		tumə	106
NORTH_HIGHLAND_MIXE	mto	two	1498	12	meck	1		met͡sk	107
SOUTH_HIGHLAND_MIXE	mxp	two	1498	12	meck	1		met͡sk	108
LOWLAND_MIXE	mco	two	1498	12	mec	1		met͡s	109
SAYULA_POPOLUCA	pos	two	1498	12	meCk	1		met͡ʃk	110
OLUTA_POPOLUCA	plo	two	1498	12	mes ko	1		mes_ko	111
TEXISTEPEC_ZOQUE	poq	two	1498	12	w3s na7	2		wəs_naʔ	112
SOTEAPAN_ZOQUE	poi	two	1498	12	w3s ten	2		wəs_ten	113
MARIA_CHIMALAPA	zoh	two	1498	12	mec a7aN	3		met͡s_aʔaŋ	114
MIGUEL_CHIMALAPA	zoh	two	1498	12	meca 7aN	3		met͡sa_ʔaŋ	115
CHIAPAS_ZOQUE	zoc	two	1498	12	meca	1		met͡sa	116
NORTH_HIGHLAND_MIXE	mto	long	1203	14	y3n	1		jən	117
SOUTH_HIGHLAND_MIXE	mxp	long	1203	14	yeny	1		jenj	118
LOWLAND_MIXE	mco	long	1203	14	yony	2		jonj	119
SAYULA_POPOLUCA	pos	long	1203	14	yagac	3		jaɡat͡s	120
OLUTA_POPOLUCA	plo	long	1203	14	yonek	4		jonek	121
TEXISTEPEC_ZOQUE	poq	long	1203	14	ya7akac	3		jaʔakat͡s	122
SOTEAPAN_ZOQUE	poi	long	1203	14	yagac	3		jaɡat͡s	123
MARIA_CHIMALAPA	zoh	long	1203	14	p3hi	5		pəhi	124
MIGUEL_CHIMALAPA	zoh	long	1203	14	p3hi7	5		pəhiʔ	125
CHIAPAS_ZOQUE	zoc	long	1203	14	p3y	5		pəj	126
NORTH_HIGHLAND_MIXE	mto	woman	962	16	t3st3k	1		təstək	127
SOUTH_HIGHLAND_MIXE	mxp	woman	962	16	tiSy~t3k	2		tiʃʲtək	128
LOWLAND_MIXE	mco	woman	962	16	to7oSyh~3y	2		toʔoʃʲʰəj	129
SAYULA_POPOLUCA	pos	woman	962	16	toSay	2		toʃaj	130
OLUTA_POPOLUCA	plo	woman	962	16	mahaw	3		mahaw	131
TEXISTEPEC_ZOQUE	poq	woman	962	16	yoma7	4		jomaʔ	132
SOTEAPAN_ZOQUE	poi	woman	962	16	yomo	4		jomo	133
MARIA_CHIMALAPA	zoh	woman	962	16	yom37	4		joməʔ	134
MIGUEL_CHIMALAPA	zoh	woman	962	16	yoma7	4		jomaʔ	135
CHIAPAS_ZOQUE	zoc	woman	962	16	yomo	4		jomo	136
NORTH_HIGHLAND_MIXE	mto	man	1554	17	yaty3k	1		jatjək	137
SOUTH_HIGHLAND_MIXE	mxp	man	1554	17	h3ty3k	1		hətjək	138
LOWLAND_MIXE	mco	man	1554	17	ye7ey d3k	1		jeʔej_dək	139
SAYULA_POPOLUCA	pos	man	1554	17	hayaw	2		hajaw	140
OLUTA_POPOLUCA	plo	man	1554	17	yo7owa	3		joʔowa	141
TEXISTEPEC_ZOQUE	poq	man	1554	17	p35	4		pəɲ	142
SOTEAPAN_ZOQUE	poi	man	1554	17	p3Si5	4		pəʃiɲ	143
MARIA_CHIMALAPA	zoh	man	1554	17	p3n	4		pən	144
MIGUEL_CHIMALAPA	zoh	man	1554	17	p3n	4		pən	145
CHIAPAS_ZOQUE	zoc	man	1554	17	p3n	4		pən	146
NORTH_HIGHLAND_MIXE	mto	person	683	18	hayu	1		haju	147
SOUTH_HIGHLAND_MIXE	mxp	person	683	18	ha7ay	1		haʔaj	148
LOWLAND_MIXE	mco	person	683	18	h3y	1		həj	149
SAYULA_POPOLUCA	pos	person	683	18	hayaw	1		hajaw	150
OLUTA_POPOLUCA	plo	person	683	18	haykak	1		hajkak	151
TEXISTEPEC_ZOQUE	poq	person	683	18	p35 Ca7	2		pəɲ_t͡ʃaʔ	152
CHIAPAS_ZOQUE	zoc	person	683	18	p3n dam	2		pən_dam	153
NORTH_HIGHLAND_MIXE	mto	fish	227	19	ahkS	1		ahkʃ	154
SOUTH_HIGHLAND_MIXE	mxp	fish	227	19	akS	1		akʃ	155
LOWLAND_MIXE	mco	fish	227	19	akS	1		akʃ	156
SAYULA_POPOLUCA	pos	fish	227	19	akS	1		akʃ	157
OLUTA_POPOLUCA	plo	fish	227	19	koke	2		koke	158
TEXISTEPEC_ZOQUE	poq	fish	227	19	woN	3		woŋ	159
SOTEAPAN_ZOQUE	poi	fish	227	19	t373p3	4		təʔəpə	160
MARIA_CHIMALAPA	zoh	fish	227	19	koke	2		koke	161
MIGUEL_CHIMALAPA	zoh	fish	227	19	koke	2		koke	162
CHIAPAS_ZOQUE	zoc	fish	227	19	kokeh	2		kokeh	163
NORTH_HIGHLAND_MIXE	mto	dog	2009	21	uk	1		uk	164
SOUTH_HIGHLAND_MIXE	mxp	dog	2009	21	uk	1		uk	165
LOWLAND_MIXE	mco	dog	2009	21	uk	1		uk	166
SAYULA_POPOLUCA	pos	dog	2009	21	tak	2		tak	167
OLUTA_POPOLUCA	plo	dog	2009	21	Suni	3		ʃuni	168
TEXISTEPEC_ZOQUE	poq	dog	2009	21	Cempa7	5		t͡ʃempaʔ	169
SOTEAPAN_ZOQUE	poi	dog	2009	21	Cimpa	5		t͡ʃimpa	170
MARIA_CHIMALAPA	zoh	dog	2009	21	nu7u	6		nuʔu	171
MIGUEL_CHIMALAPA	zoh	dog	2009	21	nu7	6		nuʔ	172
CHIAPAS_ZOQUE	zoc	dog	2009	21	tuwi	4		tuwi	173
NORTH_HIGHLAND_MIXE	mto	louse	1392	22	37c	1		əʔt͡s	174
SOUTH_HIGHLAND_MIXE	mxp	louse	1392	22	a7at	2		aʔat	175
LOWLAND_MIXE	mco	louse	1392	22	ad	1		ad	176
SAYULA_POPOLUCA	pos	louse	1392	22	awat	2		awat	177
OLUTA_POPOLUCA	plo	louse	1392	22	avat	2		avat	178
TEXISTEPEC_ZOQUE	poq	louse	1392	22	awat	2		awat	179
SOTEAPAN_ZOQUE	poi	louse	1392	22	a7awat	2		aʔawat	180
MARIA_CHIMALAPA	zoh	louse	1392	22	awat	2		awat	181
MIGUEL_CHIMALAPA	zoh	louse	1392	22	awat	2		awat	182
CHIAPAS_ZOQUE	zoc	louse	1392	22	awat	2		awat	183
NORTH_HIGHLAND_MIXE	mto	tree	906	23	kup	1		kup	184
SOUTH_HIGHLAND_MIXE	mxp	tree	906	23	Soh	2		ʃoh	185
LOWLAND_MIXE	mco	tree	906	23	kipy	1		kipj	186
SAYULA_POPOLUCA	pos	tree	906	23	kuy	1		kuj	187
OLUTA_POPOLUCA	plo	tree	906	23	kuy3	1		kujə	188
TEXISTEPEC_ZOQUE	poq	tree	906	23	kuy	1		kuj	189
SOTEAPAN_ZOQUE	poi	tree	906	23	kuy	1		kuj	190
MARIA_CHIMALAPA	zoh	tree	906	23	kuy	1		kuj	191
MIGUEL_CHIMALAPA	zoh	tree	906	23	kuy	1		kuj	192
CHIAPAS_ZOQUE	zoc	tree	906	23	kuy	1		kuj	193
NORTH_HIGHLAND_MIXE	mto	seed	714	24	t3mt	1		təmt	194
SOUTH_HIGHLAND_MIXE	mxp	seed	714	24	pak	2		pak	195
LOWLAND_MIXE	mco	seed	714	24	pak	2		pak	196
SAYULA_POPOLUCA	pos	seed	714	24	puh	3		puh	197
OLUTA_POPOLUCA	plo	seed	714	24	pak3	2		pakə	198
TEXISTEPEC_ZOQUE	poq	seed	714	24	puh	3		puh	199
SOTEAPAN_ZOQUE	poi	seed	714	24	pak	2		pak	200
MARIA_CHIMALAPA	zoh	seed	714	24	puh	3		puh	201
MIGUEL_CHIMALAPA	zoh	seed	714	24	puh	3		puh	202
CHIAPAS_ZOQUE	zoc	seed	714	24	puh	3		puh	203
NORTH_HIGHLAND_MIXE	mto	leaf	628	25	ahy	1		ahj	204
SOUTH_HIGHLAND_MIXE	mxp	leaf	628	25	ay	1		aj	205
LOWLAND_MIXE	mco	leaf	628	25	ay	1		aj	206
SAYULA_POPOLUCA	pos	leaf	628	25	ahy~	1		aʰʲ	207
OLUTA_POPOLUCA	plo	leaf	628	25	ay3	1		ajə	208
TEXISTEPEC_ZOQUE	poq	leaf	628	25	ay	1		aj	209
SOTEAPAN_ZOQUE	poi	leaf	628	25	ay	1		aj	210
MARIA_CHIMALAPA	zoh	leaf	628	25	ay	1		aj	211
MIGUEL_CHIMALAPA	zoh	leaf	628	25	ay7	1		ajʔ	212
CHIAPAS_ZOQUE	zoc	leaf	628	25	ay	1		aj	213
NORTH_HIGHLAND_MIXE	mto	root	670	26	a7c	1		aʔt͡s	214
SOUTH_HIGHLAND_MIXE	mxp	root	670	26	ac	1		at͡s	215
LOWLAND_MIXE	mco	root	670	26	tikc	2		tikt͡s	216
SAYULA_POPOLUCA	pos	root	670	26	tikCik	2		tikt͡ʃik	217
OLUTA_POPOLUCA	plo	root	670	26	Cisc3w	2		t͡ʃist͡səw	218
TEXISTEPEC_ZOQUE	poq	root	670	26	CeC3k	2		t͡ʃet͡ʃək	219
SOTEAPAN_ZOQUE	poi	root	670	26	ty~iC3k	2		tʲit͡ʃək	220
MARIA_CHIMALAPA	zoh	root	670	26	wac	3		wat͡s	221
MIGUEL_CHIMALAPA	zoh	root	670	26	wac	3		wat͡s	222
CHIAPAS_ZOQUE	zoc	root	670	26	waci	3		wat͡si	223
NORTH_HIGHLAND_MIXE	mto	bark	1204	27	k3p ak	1		kəp_ak	224
SOUTH_HIGHLAND_MIXE	mxp	bark	1204	27	ak	1		ak	225
LOWLAND_MIXE	mco	bark	1204	27	ak	1		ak	226
SAYULA_POPOLUCA	pos	bark	1204	27	ak	1		ak	227
TEXISTEPEC_ZOQUE	poq	bark	1204	27	kuy dak	2		kuj_dak	228
MARIA_CHIMALAPA	zoh	bark	1204	27	naka	2		naka	229
MIGUEL_CHIMALAPA	zoh	bark	1204	27	kuy naka	2		kuj_naka	230
CHIAPAS_ZOQUE	zoc	bark	1204	27	kuyu naka	2		kuju_naka	231
NORTH_HIGHLAND_MIXE	mto	skin	763	28	ak	1		ak	232
SOUTH_HIGHLAND_MIXE	mxp	skin	763	28	n37ak	1		nəʔak	233
LOWLAND_MIXE	mco	skin	763	28	ak	1		ak	234
SAYULA_POPOLUCA	pos	skin	763	28	ak	1		ak	235
OLUTA_POPOLUCA	plo	skin	763	28	ak3	1		akə	236
TEXISTEPEC_ZOQUE	poq	skin	763	28	dak	2		dak	237
SOTEAPAN_ZOQUE	poi	skin	763	28	naka	2		naka	238
MARIA_CHIMALAPA	zoh	skin	763	28	naka	2		naka	239
MIGUEL_CHIMALAPA	zoh	skin	763	28	naka	2		naka	240
CHIAPAS_ZOQUE	zoc	skin	763	28	naka	2		naka	241
NORTH_HIGHLAND_MIXE	mto	meat	634	29	cu7uc	1		t͡suʔut͡s	242
SOUTH_HIGHLAND_MIXE	mxp	meat	634	29	cu7uCy	1		t͡suʔut͡ʃj	243
LOWLAND_MIXE	mco	meat	634	29	cu7uC	1		t͡suʔut͡ʃ	244
SAYULA_POPOLUCA	pos	meat	634	29	SiS	2		ʃiʃ	245
OLUTA_POPOLUCA	plo	meat	634	29	cuCi	1		t͡sut͡ʃi	246
TEXISTEPEC_ZOQUE	poq	meat	634	29	SeS	2		ʃeʃ	247
SOTEAPAN_ZOQUE	poi	meat	634	29	mayi	3		maji	248
MARIA_CHIMALAPA	zoh	meat	634	29	sis	2		sis	249
MIGUEL_CHIMALAPA	zoh	meat	634	29	SiS	2		ʃiʃ	250
CHIAPAS_ZOQUE	zoc	meat	634	29	sis	2		sis	251
NORTH_HIGHLAND_MIXE	mto	blood	946	30	nupun	1		nupun	252
SOUTH_HIGHLAND_MIXE	mxp	blood	946	30	n373py	1		nəʔəpj	253
LOWLAND_MIXE	mco	blood	946	30	n3py	1		nəpj	254
SAYULA_POPOLUCA	pos	blood	946	30	nipin	1		nipin	255
OLUTA_POPOLUCA	plo	blood	946	30	n3pin	1		nəpin	256
TEXISTEPEC_ZOQUE	poq	blood	946	30	d373pi5	1		dəʔəpiɲ	257
SOTEAPAN_ZOQUE	poi	blood	946	30	n373pi5	1		nəʔəpiɲ	258
MARIA_CHIMALAPA	zoh	blood	946	30	n3pin	1		nəpin	259
MIGUEL_CHIMALAPA	zoh	blood	946	30	n3pin7	1		nəpinʔ	260
CHIAPAS_ZOQUE	zoc	blood	946	30	n3pin	1		nəpin	261
NORTH_HIGHLAND_MIXE	mto	bone	1394	31	pak	1		pak	262
SOUTH_HIGHLAND_MIXE	mxp	bone	1394	31	pak	1		pak	263
LOWLAND_MIXE	mco	bone	1394	31	pak	1		pak	264
SAYULA_POPOLUCA	pos	bone	1394	31	pak	1		pak	265
OLUTA_POPOLUCA	plo	bone	1394	31	pak3	1		pakə	266
TEXISTEPEC_ZOQUE	poq	bone	1394	31	pak	1		pak	267
SOTEAPAN_ZOQUE	poi	bone	1394	31	pak	1		pak	268
MARIA_CHIMALAPA	zoh	bone	1394	31	pak	1		pak	269
MIGUEL_CHIMALAPA	zoh	bone	1394	31	pak	1		pak	270
CHIAPAS_ZOQUE	zoc	bone	1394	31	pak	1		pak	271
NORTH_HIGHLAND_MIXE	mto	grease	1282	32	on	1		on	272
SOUTH_HIGHLAND_MIXE	mxp	grease	1282	32	on	1		on	273
LOWLAND_MIXE	mco	grease	1282	32	win omb	2		win_omb	274
SAYULA_POPOLUCA	pos	grease	1282	32	o7c3k	3		oʔt͡sək	275
OLUTA_POPOLUCA	plo	grease	1282	32	ona	1		ona	276
SOTEAPAN_ZOQUE	poi	grease	1282	32	p3hi	5		pəhi	277
MARIA_CHIMALAPA	zoh	grease	1282	32	grasa	6		ɡrasa	278
MIGUEL_CHIMALAPA	zoh	grease	1282	32	yewe7	7		jeweʔ	279
CHIAPAS_ZOQUE	zoc	grease	1282	32	kin3	4		kinə	280
NORTH_HIGHLAND_MIXE	mto	egg	744	33	tu7ut	1		tuʔut	281
SOUTH_HIGHLAND_MIXE	mxp	egg	744	33	tucah	1		tut͡sah	282
LOWLAND_MIXE	mco	egg	744	33	tu7uty	1		tuʔutj	283
SAYULA_POPOLUCA	pos	egg	744	33	koy	2		koj	284
OLUTA_POPOLUCA	plo	egg	744	33	tutik	1		tutik	285
TEXISTEPEC_ZOQUE	poq	egg	744	33	kanpuk	4		kanpuk	286
SOTEAPAN_ZOQUE	poi	egg	744	33	kanpu	4		kanpu	287
MARIA_CHIMALAPA	zoh	egg	744	33	po7ok	3		poʔok	288
MIGUEL_CHIMALAPA	zoh	egg	744	33	pohok	3		pohok	289
CHIAPAS_ZOQUE	zoc	egg	744	33	poka	3		poka	290
NORTH_HIGHLAND_MIXE	mto	horn	1393	34	vah	1		vah	291
SOUTH_HIGHLAND_MIXE	mxp	horn	1393	34	wah	1		wah	292
LOWLAND_MIXE	mco	horn	1393	34	mun	2		mun	293
SAYULA_POPOLUCA	pos	horn	1393	34	wah	1		wah	294
OLUTA_POPOLUCA	plo	horn	1393	34	vaha	1		vaha	295
TEXISTEPEC_ZOQUE	poq	horn	1393	34	waNa7	1		waŋaʔ	296
MIGUEL_CHIMALAPA	zoh	horn	1393	34	weka7	3		wekaʔ	297
CHIAPAS_ZOQUE	zoc	horn	1393	34	wa7	1		waʔ	298
NORTH_HIGHLAND_MIXE	mto	tail	1220	35	tuSta	1		tuʃta	299
SOUTH_HIGHLAND_MIXE	mxp	tail	1220	35	tuct	1		tut͡st	300
LOWLAND_MIXE	mco	tail	1220	35	pi7iSy	2		piʔiʃj	301
SAYULA_POPOLUCA	pos	tail	1220	35	tuhc	1		tuht͡s	302
OLUTA_POPOLUCA	plo	tail	1220	35	tusta	1		tusta	303
TEXISTEPEC_ZOQUE	poq	tail	1220	35	tuc	1		tut͡s	304
SOTEAPAN_ZOQUE	poi	tail	1220	35	tuc	1		tut͡s	305
MARIA_CHIMALAPA	zoh	tail	1220	35	tuc	1		tut͡s	306
MIGUEL_CHIMALAPA	zoh	tail	1220	35	tuc	1		tut͡s	307
CHIAPAS_ZOQUE	zoc	tail	1220	35	tuc	1		tut͡s	308
NORTH_HIGHLAND_MIXE	mto	feather	1201	36	pak	1		pak	309
SOUTH_HIGHLAND_MIXE	mxp	feather	1201	36	p3k	1		pək	310
LOWLAND_MIXE	mco	feather	1201	36	ce5i7i b3k	2		t͡seɲiʔi_bək	311
OLUTA_POPOLUCA	plo	feather	1201	36	p3k3	1		pəkə	312
TEXISTEPEC_ZOQUE	poq	feather	1201	36	p3k	1		pək	313
SOTEAPAN_ZOQUE	poi	feather	1201	36	p3k	1		pək	314
MARIA_CHIMALAPA	zoh	feather	1201	36	p3k	1		pək	315
MIGUEL_CHIMALAPA	zoh	feather	1201	36	p3k	1		pək	316
CHIAPAS_ZOQUE	zoc	feather	1201	36	p3k	1		pək	317
NORTH_HIGHLAND_MIXE	mto	hair	1040	37	vay	1		vaj	318
SOUTH_HIGHLAND_MIXE	mxp	hair	1040	37	way	1		waj	319
LOWLAND_MIXE	mco	hair	1040	37	way	1		waj	320
TEXISTEPEC_ZOQUE	poq	hair	1040	37	way	1		waj	321
SOTEAPAN_ZOQUE	poi	hair	1040	37	way	1		waj	322
MARIA_CHIMALAPA	zoh	hair	1040	37	way	1		waj	323
MIGUEL_CHIMALAPA	zoh	hair	1040	37	way7	1		wajʔ	324
CHIAPAS_ZOQUE	zoc	hair	1040	37	way	1	also: p3k	waj	325
NORTH_HIGHLAND_MIXE	mto	head	1256	38	kuvak	1		kuvak	326
SOUTH_HIGHLAND_MIXE	mxp	head	1256	38	k3pak	1		kəpak	327
LOWLAND_MIXE	mco	head	1256	38	kowak	1		kowak	328
SAYULA_POPOLUCA	pos	head	1256	38	kopak	1		kopak	329
OLUTA_POPOLUCA	plo	head	1256	38	kopak	1		kopak	330
TEXISTEPEC_ZOQUE	poq	head	1256	38	kop3k	1		kopək	331
SOTEAPAN_ZOQUE	poi	head	1256	38	kobak	1		kobak	332
MARIA_CHIMALAPA	zoh	head	1256	38	way	2		waj	333
MIGUEL_CHIMALAPA	zoh	head	1256	38	kopak	1		kopak	334
CHIAPAS_ZOQUE	zoc	head	1256	38	kopak	1		kopak	335
NORTH_HIGHLAND_MIXE	mto	ear	1247	39	tack	1		tat͡sk	336
SOUTH_HIGHLAND_MIXE	mxp	ear	1247	39	tack	1		tat͡sk	337
SAYULA_POPOLUCA	pos	ear	1247	39	tac3k	1		tat͡sək	338
OLUTA_POPOLUCA	plo	ear	1247	39	tac3k	1		tat͡sək	339
TEXISTEPEC_ZOQUE	poq	ear	1247	39	tac3k	1		tat͡sək	340
SOTEAPAN_ZOQUE	poi	ear	1247	39	tacek	1		tat͡sek	341
MARIA_CHIMALAPA	zoh	ear	1247	39	tac3k	1		tat͡sək	342
MIGUEL_CHIMALAPA	zoh	ear	1247	39	tac3k	1		tat͡sək	343
CHIAPAS_ZOQUE	zoc	ear	1247	39	tac3k	1		tat͡sək	344
NORTH_HIGHLAND_MIXE	mto	eye	1248	40	vin	1		vin	345
SOUTH_HIGHLAND_MIXE	mxp	eye	1248	40	wen	1		wen	346
LOWLAND_MIXE	mco	eye	1248	40	win	1		win	347
SAYULA_POPOLUCA	pos	eye	1248	40	win	1		win	348
OLUTA_POPOLUCA	plo	eye	1248	40	vin3	1		vinə	349
